sample.name.match,Site,mono.mixed,cultivar,plotarea.m2,max.height.m,basal.area.m2,stand.age.yrs,ph,perc.C,watercontent,doc,p.resin,TIN,SOM,W.V,mbc,Cu,K,Mg,Mn,P,Zn,Ca,perc.N,S,perc.clay,perc.sand,MAP.mm,MAT.C,lat,lon,samp.lat,samp.lon
L18,CGF-MON,mono,Alamo,2880.00,1.87,0.03,9,6.96,4.46,0.34,7.16,7.39,2.59,0.41,0.87,31.44,5.98,90.80,406.90,32.41,54.02,7.47,1432.18,0.33,28.74,26.50,49.95,1116.87,15.0,35.55360,-80.65369,35.55359,-80.65386
L105,UCP-MXG,mixed-grass,Alamo,1638.00,2.06,0.21,26,5.19,0.84,0.12,2.56,10.37,1.63,0.36,1.22,7.67,0.66,40.98,28.69,6.07,194.26,2.05,127.87,0.05,15.57,2.56,79.88,1166.37,15.8,35.89575,-77.67927,35.89598,-77.67953
L31,CGF-MXG,mixed-grass,unknown,3560.00,1.82,0.29,12,5.37,1.72,0.30,4.52,15.58,2.87,0.46,0.78,15.52,3.08,114.10,185.90,63.97,69.23,4.62,920.51,0.13,28.21,23.45,32.51,1116.87,15.0,35.54975,-80.65250,35.54997,-80.65303
L12,CCR-ONE,mono,Performer,4757.35,2.42,0.47,26,6.83,0.93,0.13,0.00,17.77,1.78,0.27,1.27,10.19,4.96,41.73,123.62,18.90,225.20,46.30,662.20,0.05,9.45,5.26,84.88,1177.02,15.6,35.66531,-78.51256,35.66525,-78.51247
L42,CRE-MXT,mixed-tree,mixed,504.00,2.20,0.03,4,5.77,0.63,0.12,1.22,4.29,1.26,0.22,1.14,1.62,0.70,61.40,54.39,88.07,157.02,2.02,252.63,0.03,10.53,11.92,71.87,1192.21,16.5,35.37047,-78.04537,35.37099,-78.04774
L6,BRF-ONE,mono,unknown,1350.00,2.47,0.05,5,5.57,0.70,0.22,3.76,0.13,1.43,0.22,1.16,4.53,0.52,46.55,137.07,26.64,11.21,1.29,379.31,0.04,19.83,21.46,58.63,1169.34,15.5,35.60368,-78.84774,35.60367,-78.84782
L1,BRF-ONE,mono,unknown,1350.00,2.43,0.10,5,5.46,0.96,0.23,0.99,0.67,1.74,0.41,1.18,12.75,0.42,44.07,93.22,30.51,30.51,2.12,314.41,0.06,11.02,5.19,70.85,1169.34,15.5,35.60368,-78.84774,35.60344,-78.84784
L48,CRE-MXT,mixed-tree,mixed,504.00,1.88,0.04,4,5.39,0.64,0.09,1.42,3.44,1.57,0.27,1.19,8.37,0.50,33.61,39.50,75.29,197.48,1.68,145.38,0.02,12.61,12.00,76.04,1192.21,16.5,35.37047,-78.04537,35.36979,-78.04404
L59,LWR-BHO,mixed-grass,unknown,3024.00,2.17,0.42,>10,6.01,0.46,0.20,5.58,2.68,0.70,0.51,1.18,0.83,0.59,72.03,88.98,13.14,264.41,2.80,596.61,0.02,12.71,4.73,71.39,1176.24,15.5,35.73513,-78.70249,35.73541,-78.70264
L3,BRF-ONE,mono,unknown,1350.00,2.36,0.11,5,5.80,1.22,0.26,2.44,0.00,1.72,0.36,1.13,12.39,0.44,70.80,109.73,24.34,21.24,1.95,416.81,0.07,12.39,7.44,66.90,1169.34,15.5,35.60368,-78.84774,35.60353,-78.84770
L108,WBI-NRT,mono,Performer,25.00,2.20,0.37,7,6.57,1.06,0.16,1.24,24.22,2.55,0.60,1.15,6.07,3.65,71.30,141.74,12.43,326.09,5.91,537.39,0.06,12.17,2.10,77.36,1300.15,16.6,34.76719,-78.10178,34.76747,-78.10192
L93,SFA-ONE,mono,mixed unknown,10604.50,2.24,0.02,1,5.94,1.03,0.13,1.36,1.91,0.53,0.41,1.13,12.77,0.53,80.53,62.83,14.25,44.25,1.06,385.84,0.06,14.16,1.64,69.79,1245.48,15.0,35.37303,-81.68670,35.37296,-81.68656
L22,CGF-MON,mono,Alamo,2880.00,2.25,0.07,9,7.24,5.24,0.37,5.88,3.74,2.45,0.46,0.78,19.67,5.64,130.77,514.10,41.54,39.74,9.23,2051.28,0.40,28.21,34.46,57.71,1116.87,15.0,35.55360,-80.65369,35.55354,-80.65338
L100,UCP-MXG,mixed-grass,Alamo,1638.00,1.95,0.04,26,4.95,1.48,0.09,0.96,6.37,1.76,1.02,1.25,8.73,0.56,60.00,32.80,7.92,176.00,2.24,130.40,0.07,15.20,2.49,81.33,1166.37,15.8,35.89575,-77.67927,35.89573,-77.67915
