"ASV","DPCoA1","DPCoA2","kingdom","phylum","class","order","family","genus","species"
"ASV_3509",0.190347389158929,-2.01440970032505,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS07",NA,NA,NA
"ASV_540",0.199491014948681,-2.048731061552,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA
"ASV_3014",0.199019616626415,-2.04332033196943,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA
"ASV_1733",0.200280629279578,-2.04250527517619,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS10",NA,NA,NA
"ASV_551",0.193129070942926,-2.0580418715195,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__Branch02",NA,NA,NA
"ASV_2654",0.192873800912212,-2.05172581024042,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__Branch02",NA,NA,NA
"ASV_2763",0.19019130043798,-2.01566561126076,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS08",NA,NA,NA
"ASV_456",0.193991888145692,-2.04967083853083,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS02",NA,NA,NA
"ASV_1775",0.1936712186129,-2.04590423948248,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS02",NA,NA,NA
"ASV_2067",0.193867398961508,-2.04535132334599,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS02",NA,NA,NA
"ASV_1729",0.18893484381828,-2.02584029516974,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS05",NA,NA,NA
"ASV_2774",0.18914994344153,-2.02486497411924,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS05",NA,NA,NA
"ASV_425",0.362912951124785,-2.15294945190762,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_179",0.36486576535627,-2.16432075382675,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_519",0.363651654745191,-2.14964043584373,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_309",0.365743830237468,-2.15778545723575,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_493",0.359364194570044,-2.1557449805975,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_2200",0.358397085119267,-2.151540521907,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_346",0.367571782462868,-2.14863445786981,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_1915",0.358406852528402,-2.15179460604259,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_1669",0.358161896560917,-2.15243692123816,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"ASV_2299",0.191343034372354,-2.01609016857075,"k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis",NA,NA,NA,NA
"ASV_5152",0.165587506265491,-1.98298713793968,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_2411",0.165855655739854,-1.98341026486843,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_3039",0.165570143771978,-1.98342344842622,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_4353",0.165627195239113,-1.98344101720591,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_3519",0.165910406086378,-1.98293787181134,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_1102",0.166586328580234,-1.98384712680806,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_1757",0.165874627241735,-1.98398310900954,"k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"ASV_826",-3.25464988288627,-3.06595631765291,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_344",-3.24739223680503,-3.06220838092139,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_805",-3.25410377294912,-3.06446864084801,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_716",-3.25776313361938,-3.07083819729358,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_420",-3.25549261486656,-3.07340518044204,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_506",-3.2559309771404,-3.0699503833338,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_1419",-3.25723149267975,-3.06724403822237,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_695",-3.25520310358534,-3.06888869127897,"k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_450",-3.4366320565681,-2.97719088389626,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora",NA
"ASV_1518",-3.43545897972989,-2.98122733864983,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora",NA
"ASV_177",-3.44085327320151,-2.98166529833949,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora",NA
"ASV_473",-3.42537684618833,-2.98570364517503,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__bambusae"
"ASV_1075",-3.4134266967175,-2.99012802586078,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae"
"ASV_496",-3.4147531460225,-2.9902317692335,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora","s__oryzae"
