"sample","DPCoA1","DPCoA2","Tissue","mono.mixed"
"L18",-6.51614660211003,-0.107672525885863,"L","mono"
"L105",-5.00033876824556,1.52466429573201,"L","mixed-grass"
"L31",-6.88127017920176,-0.448691472099405,"L","mixed-grass"
"L12",-5.09100517791098,5.28630771475913,"L","mono"
"L42",-5.66933556468546,1.73939731310152,"L","mixed-tree"
"L6",-6.53657449429374,-0.172759745005624,"L","mono"
"L1",-6.84158109609,0.215111562038196,"L","mono"
"L48",-3.38040365531473,3.65506427900899,"L","mixed-tree"
"L59",-5.98754552864462,4.51756763171294,"L","mixed-grass"
"L3",-7.01243205154204,-0.608967766118128,"L","mono"
"L108",-7.34694481153781,1.26127817745024,"L","mono"
"L93",-5.82101446727173,4.69798205726055,"L","mono"
"L22",-6.29187453686903,-0.0792221093007444,"L","mono"
"L100",-5.94687867992828,0.0685926788356773,"L","mixed-grass"
"L69",-6.37466716323847,-0.685131905080344,"L","mono"
"L14",-4.26708363597419,4.18719191126881,"L","mono"
"L63",-6.40274012326083,3.36211321465545,"L","mixed-grass"
"L44",-3.85956800249671,-0.0373678584642909,"L","mixed-tree"
"L4",-5.88553154944735,1.09843063206574,"L","mono"
"L33",-3.06128344416878,8.86807034779476,"L","mixed-grass"
"L52",-2.48226124918576,-2.20241998729768,"L","mixed-tree"
"L102",-2.99785912437548,5.49028421549391,"L","mixed-grass"
"L13",-4.29833175396717,5.71063863906199,"L","mono"
"L91",-6.12748376959167,0.929541221923934,"L","mono"
"L89",-5.66495508312495,0.597044698116205,"L","mixed-tree"
"L51",-1.18772698590901,2.93827257778428,"L","mixed-tree"
"L71",-5.46099007516229,-1.0235807399644,"L","mono"
"L57",-4.08261764089803,8.29084722220927,"L","mixed-grass"
"L10",-3.75628200556862,5.13210493923766,"L","mono"
"L41",-6.99495880535725,1.31825430353831,"L","mixed-tree"
"L49",-3.00780883401397,7.00831497666015,"L","mixed-tree"
"L77",-4.60528667821953,5.94126498378972,"L","mono"
"L36",-5.42370596831713,1.42804745860471,"L","mixed-grass"
"L20",-5.3682447698839,-0.76078935780094,"L","mono"
"L43",-7.41366625877071,1.13114457536991,"L","mixed-tree"
"L23",-4.01432362577908,-1.08283473845778,"L","mono"
"L55",-2.2101250304222,-0.863709761650059,"L","mixed-tree"
"L78",-4.70649381820986,6.34562108905728,"L","mono"
"L5",-4.96921765695059,3.64870810342761,"L","mono"
"L106",-5.4741162118666,3.82794018519324,"L","mono"
"L54",-3.17237247341106,3.14851037078698,"L","mixed-tree"
"L104",-3.91658302280255,1.60317581115112,"L","mixed-grass"
"L76",-5.59444795612001,3.00018991961115,"L","mono"
"L74",-5.30268760471886,3.15267081490258,"L","mono"
"L45",-6.03000747308631,0.702215343569175,"L","mixed-tree"
"L26",-6.58341829909513,-0.750788629861046,"L","mixed-grass"
"L97",-5.35221718273512,5.00389405136738,"L","mono"
"L81",-3.67719846211774,8.21170070432505,"L","mono"
"L90",-5.59803791445795,3.68754299049449,"L","mono"
"L21",-5.31320344808628,-1.05838075924463,"L","mono"
"L99",-5.69009495035475,-0.381465565846955,"L","mixed-grass"
"L68",-6.0794692986039,-0.599213567913731,"L","mono"
"L95",-5.93988021488255,2.37696133744782,"L","mono"
"L73",-6.90400221572161,-0.377582763318267,"L","mono"
"L79",-5.16657392918636,3.05659572097429,"L","mono"
"L94",-5.69968924265549,2.02634885925357,"L","mono"
"L80",-5.37916264461273,3.14308681864049,"L","mono"
"L39",-4.20893436348655,0.932495162913671,"L","mixed-grass"
"L50",-3.09302241492344,2.01471003209121,"L","mixed-tree"
"L15",-4.69255622196307,4.87044025608617,"L","mono"
"L24",-4.17521340439579,-1.1361361879685,"L","mono"
"L40",-6.88299383155767,-0.703111641993093,"L","mixed-grass"
"L47",-3.22560059603067,0.927410258718017,"L","mixed-tree"
"L110",-5.14714292391735,3.33570184618236,"L","mono"
"L103",-5.45875679381099,1.99129831488515,"L","mixed-grass"
"L82",-4.04495470173372,-1.48434922057829,"L","mixed-tree"
"L96",-5.24693093123188,3.95352018277949,"L","mono"
"L84",-4.88308284987421,-0.450513764180207,"L","mixed-tree"
"L75",-5.7907686700676,4.42883253888961,"L","mono"
"L32",-6.70762295713624,-0.925043568975438,"L","mixed-grass"
"L16",-5.49361261450016,3.45318378666609,"L","mono"
"L53",-2.57172360864129,8.48470027931372,"L","mixed-tree"
"L67",-5.64758756420726,-0.830398361726178,"L","mono"
"L86",-2.84292844074149,-1.36594831841837,"L","mixed-tree"
"L58",-4.71757758327483,6.79812484477877,"L","mixed-grass"
"L109",-5.64219788468285,-0.177213608072719,"L","mono"
"L38",-6.22335870878896,-0.651440367479915,"L","mixed-grass"
"L72",-5.37168234304797,-0.468208894449398,"L","mono"
"L111",-4.4188892731478,4.83491013028256,"L","mono"
"L70",-7.0764013574917,-0.563346607595029,"L","mono"
"L17",-4.18615663372319,-0.112279476533128,"L","mono"
"L11",-5.8835199165191,2.21537354313047,"L","mono"
"L35",-4.40889319335111,1.12868520108903,"L","mixed-grass"
"L34",-4.81631236719921,2.29248424753392,"L","mixed-grass"
"L7",-5.82444031921212,3.15403062507874,"L","mono"
"L85",-3.73084272606002,-1.89291502765195,"L","mixed-tree"
"L46",-5.70385728888318,0.559796219887541,"L","mixed-tree"
"L61",-4.99573354536516,6.09077315621706,"L","mixed-grass"
"L87",-3.11842098989419,0.820573343274041,"L","mixed-tree"
"L88",-5.71512159443644,-0.905997272165236,"L","mixed-tree"
"L9",-6.73712111671597,1.41144252270792,"L","mono"
"L25",-6.61040464109301,0.207891912096889,"L","mixed-grass"
"L8",-6.93727761046287,-0.261172832070956,"L","mono"
"L28",-6.0645662084843,-0.850445188487958,"L","mixed-grass"
"L101",-5.61304687606056,0.181492605808459,"L","mixed-grass"
"L37",-5.02745320980362,-0.173094356864056,"L","mixed-grass"
"L66",-6.88602612452604,-0.798973740144695,"L","mono"
"L60",-6.92720069037222,1.51228378223776,"L","mixed-grass"
"L98",-6.02540059391955,0.436833348693551,"L","mixed-grass"
"L30",-6.82550582858063,-0.545758720555689,"L","mixed-grass"
"L29",-6.15708294371742,-0.932800920867422,"L","mixed-grass"
"L62",-6.48532557302574,2.29050171907747,"L","mixed-grass"
"L27",-5.91714744265495,-1.12399868415642,"L","mixed-grass"
"L2",-6.89118441175415,0.242547648695664,"L","mono"
"L64",-5.4574915193113,4.48804410576441,"L","mixed-grass"
"L83",-4.25079859689688,-0.74101959471427,"L","mixed-tree"
"L56",-2.41455386808996,4.96953122202374,"L","mixed-tree"
"L107",-5.81759645173635,-1.13303114665315,"L","mono"
"L19",-4.30495772603875,-0.604214892955452,"L","mono"
"R12",3.36654163457454,-3.42785415481899,"R","mono"
"R63",-1.02271249856055,-4.76561351131631,"R","mixed-grass"
"R6",2.01035202593962,-3.24116907286969,"R","mono"
"R39",4.09343923582862,-0.991867289289255,"R","mixed-grass"
"R19",-2.48178631030695,-4.30028463352382,"R","mono"
"R91",1.68695874177856,-4.04586906700382,"R","mixed-tree"
"R41",5.33998236413365,-0.0606589606223714,"R","mixed-tree"
"R55",-2.50537833146626,-11.6915303489326,"R","mixed-tree"
"R56",-2.03082107369008,-11.1251801599324,"R","mixed-tree"
"R109",2.40277780446738,-2.88879169854526,"R","mono"
"R25",-1.68389123732602,-8.93059809937012,"R","mixed-grass"
"R108",-0.0392684257436899,-3.90950677769224,"R","mono"
"R117",-4.33472279795332,-1.56466078534985,"R","mono"
"R70",0.884914755172891,-2.44319275007594,"R","mono"
"R2",0.631327940124831,-3.56305282005983,"R","mono"
"R43",4.76332778401347,-0.8012683553732,"R","mixed-tree"
"R104",6.26270988695792,1.02798073350504,"R","mixed-grass"
"R48",4.37301359440875,-0.885469046606816,"R","mixed-tree"
"R112",0.910573830519909,-2.66376340242097,"R","mono"
"R97",0.96696831727919,-3.08028361186375,"R","mono"
"R79",-0.0946766839442276,-3.72496735665775,"R","mono"
"R59",1.90348289374746,-3.16660000746874,"R","mixed-grass"
"R87",1.95435294393365,-2.12213438055408,"R","mixed-tree"
"R4",8.29887987112532,2.04261297318278,"R","mono"
"R52",2.92374640113881,-5.07475873208191,"R","mixed-tree"
"R10",-1.3919257974712,-4.92144238255381,"R","mono"
"R100",0.38303561315903,-3.29700113963708,"R","mixed-grass"
"R22",-1.13531255739385,-2.59587596959301,"R","mono"
"R114",6.96166284079609,-0.188072456759099,"R","mono"
"R40",0.936970518780239,-2.57776886072961,"R","mixed-grass"
"R18",-0.770253506500337,-4.17535618047189,"R","mono"
"R76",-1.98223986052011,-9.33291941064146,"R","mono"
"R29",-1.86987167757471,-10.4861079815323,"R","mixed-grass"
"R45",-1.07303076811871,-4.20403648148005,"R","mixed-tree"
"R69",-1.22362962915072,-4.11671990520459,"R","mono"
"R58",0.594513508897085,-3.84356350966079,"R","mixed-grass"
"R93",-1.60790197706119,-3.78683946611091,"R","mono"
"R5",6.25041228982896,0.628074439809761,"R","mono"
"R77",8.68849085933908,3.05241316530148,"R","mono"
"R26",3.67023818409575,-2.52344312590974,"R","mixed-grass"
"R62",1.22241097100815,-3.35067796644892,"R","mixed-grass"
"R23",-3.38131348898052,-3.16517376782893,"R","mono"
"R37",-1.47807456287762,-2.04485917613356,"R","mixed-grass"
"R89",5.29882075368208,0.537332344534177,"R","mixed-tree"
"R13",7.38220771877021,-0.343049818488465,"R","mono"
"R86",-1.88616704601265,-5.46547333236024,"R","mixed-tree"
"R103",7.53211387963669,1.22771598833914,"R","mixed-grass"
"R101",10.8214065467319,4.39316813635916,"R","mixed-grass"
"S243",3.0333527045684,-2.19908784317514,"S","mixed-grass"
"R36",4.44274128018381,-0.350279755951566,"R","mixed-grass"
"R17",1.31687394744595,-1.5372027785932,"R","mono"
"R64",0.878833650536031,-4.100309860421,"R","mixed-grass"
"R20",-2.81036156903206,-4.13575163146763,"R","mono"
"R106",11.2164959248215,5.12331405753176,"R","mixed-grass"
"R94",7.04807403011448,1.91772002913869,"R","mono"
"R7",10.1566052007213,4.27868984993066,"R","mono"
"R99",2.48578756580027,-3.13797694509594,"R","mono"
"R31",3.82437482852096,-1.28442410685251,"R","mixed-grass"
"R15",0.90663808192422,-5.08992372997407,"R","mono"
"R92",-1.36072049935121,-4.47469893148414,"R","mono"
"R35",0.72189363775542,-3.51825388556762,"R","mixed-grass"
"R71",-3.30685499178878,-2.46804203389675,"R","mono"
"S244",10.398888335109,2.43251069119599,"S","mixed-grass"
"R85",10.6950322379099,4.99581827982862,"R","mixed-tree"
"R44",-0.65639659660783,-3.82799508231447,"R","mixed-tree"
"R50",-2.50005675956622,-11.1956281766653,"R","mixed-tree"
"R54",-2.25492110014545,-10.670378134334,"R","mixed-tree"
"R84",-0.846861230393105,-3.83179392392597,"R","mixed-tree"
"R1",6.88407615670796,0.898331323993778,"R","mono"
"R51",7.14522918696256,-1.6388478024854,"R","mixed-tree"
"R111",2.67614378894543,-2.98660320865763,"R","mono"
"R80",0.301446820359131,-4.35635733274662,"R","mono"
"R107",1.41815305667321,-4.49324436941507,"R","mixed-grass"
"R75",2.68737007563739,-0.31253073147454,"R","mono"
"R60",-1.95664077539855,-5.00236957674892,"R","mixed-grass"
"R34",-0.840357615032544,-4.19842363344704,"R","mixed-grass"
"R88",-0.268473859305003,-2.25873228301747,"R","mixed-tree"
"R14",0.222342315475674,-4.955630370464,"R","mono"
"S245",-1.40204879219089,-1.0860157076337,"S","mixed-grass"
"R9",1.86668897751649,-3.2662391980398,"R","mono"
"R49",-1.83994854358855,-9.89773832951509,"R","mixed-tree"
"R68",4.71061812768378,-0.292072897476105,"R","mono"
"R78",-1.52380051371338,-5.00051328921245,"R","mono"
"R32",3.16415437635007,-3.27892715576474,"R","mixed-grass"
"R47",1.75685657424896,-0.778588731627637,"R","mixed-tree"
"R113",1.92855355908855,-1.79920280902297,"R","mono"
"R33",9.94407670994624,3.79927752003686,"R","mixed-grass"
"R90",5.78672441208563,0.355069259463811,"R","mixed-tree"
"R53",1.00947237491518,-5.63376227712492,"R","mixed-tree"
"R110",1.88370646232105,-2.99008175803213,"R","mono"
"R105",6.88382457298214,1.95908846570283,"R","mixed-grass"
"R74",5.81172240810747,0.821466782185166,"R","mono"
"R27",2.1026102309969,-4.14903028013951,"R","mixed-grass"
"R24",-1.11944487612299,-2.55462936663154,"R","mono"
"R42",3.08298715028856,-2.54878132019695,"R","mixed-tree"
"R21",-0.752453714782512,-4.05037386926019,"R","mono"
"S246",3.49938525327494,0.0219768673098072,"S","mixed-grass"
"R28",-1.12783906431154,-8.58592425175159,"R","mixed-grass"
"R11",1.25970431648707,-4.30673126811122,"R","mono"
"R73",-0.822764616039754,-4.2424883619821,"R","mono"
"R61",1.68676324551211,-3.08942556978467,"R","mixed-grass"
"R57",0.898349939601375,-3.40233858681619,"R","mixed-grass"
"R98",1.18732657402693,-3.66109452829232,"R","mono"
"S247",-0.130280296351438,-2.21724915169427,"S","mixed-tree"
"R3",8.15325442666956,1.65779967078898,"R","mono"
"R95",9.25412190975218,4.64817133733999,"R","mono"
"R8",1.07271327074098,-4.95970372334443,"R","mono"
"R16",-0.905033767924399,-4.27821215938426,"R","mono"
"R30",4.2290376996597,-1.73407247168353,"R","mixed-grass"
"R82",0.278623984602202,-4.24530182118677,"R","mono"
"R81",-1.70572769851231,-4.46290365203586,"R","mono"
"R38",2.42033053339835,-1.10416812035078,"R","mixed-grass"
"R46",-0.856987056705034,-4.24733946477031,"R","mixed-tree"
"R83",1.4701195196385,-3.49279119520545,"R","mono"
"R96",-0.439106416091839,-2.71802202469799,"R","mono"
"R102",6.47047012966718,1.4737775711872,"R","mixed-grass"
"S248",1.80090920688562,-0.366427205635445,"S","mixed-tree"
"S249",-0.407793303954778,-2.06995914361447,"S","mixed-tree"
"S238",-1.59212419430615,-2.9282433173763,"S","mono"
"S239",-0.806308351109392,-1.72415898602882,"S","mono"
"S1",0.926813313241012,-3.58243829273466,"S","mono"
"S13",8.34553100036848,2.5254164871089,"S","mono"
"S25",2.84635876834376,-2.92450644447399,"S","mono"
"S37",0.613236092291185,-1.70768289562885,"S","mono"
"S49",1.03687491049742,-2.0506232629432,"S","mixed-grass"
"S240",2.57869135920931,-1.47990754107253,"S","mono"
"S73",0.736663318768273,-3.6080564649858,"S","mixed-grass"
"S85",0.613051691812888,-1.16578736118848,"S","mixed-tree"
"S3",6.25347079939763,-0.0941741865797071,"S","mono"
"S15",1.87916987099809,-1.00022243332168,"S","mono"
"S27",-0.16707280669337,-3.30473832984915,"S","mono"
"S39",0.671150822655166,-1.79791296050486,"S","mono"
"S51",0.246358956231601,-2.29752630189429,"S","mixed-grass"
"S241",4.96345565064067,-0.344175715469055,"S","mono"
"S75",-2.40987971136346,-2.45305845279794,"S","mixed-grass"
"S242",1.86596118575091,-1.29817792069347,"S","mono"
"S5",6.73784417887326,1.26433410505138,"S","mono"
"S29",2.97290832067155,-1.79537963993737,"S","mono"
"S17",2.0747392114014,-1.35478195691774,"S","mono"
"S41",2.4210746668126,-1.12220013755752,"S","mono"
"S53",2.11488109543391,-1.18122468414884,"S","mixed-grass"
"S65",3.15078006300542,-0.856412204453945,"S","mixed-grass"
"S77",0.424768968045385,-3.31129442585506,"S","mixed-grass"
"S234",-2.8327146104438,-2.51500886799202,"S","mono"
"S7",0.709010659674902,-1.53124475959946,"S","mono"
"S19",0.119310403967873,-2.75105889015669,"S","mono"
"S31",-1.69924912527215,-2.94367525981386,"S","mono"
"S43",5.43751826554158,0.785499101549998,"S","mono"
"S55",0.638284990121268,-2.15668144618402,"S","mixed-grass"
"S67",2.04355530636739,-1.83473526415637,"S","mixed-grass"
"S79",3.54036361972969,-0.317974370281651,"S","mixed-grass"
"S235",9.07971045066134,1.81005003053467,"S","mixed-grass"
"S21",-1.20174594098163,-2.96489987249117,"S","mono"
"S236",4.745190734311,-0.481861616592612,"S","mixed-grass"
"S237",4.36156166033887,-0.684540150047443,"S","mixed-grass"
"S227",0.510670556554815,-1.98009591025211,"S","mono"
"S69",3.54340918811139,-0.717904644684268,"S","mixed-grass"
"S81",-0.0782363920141369,-2.73641098767792,"S","mixed-tree"
"S93",2.54976881518188,-1.08101985266233,"S","mixed-tree"
"S11",4.72799706469779,-0.356547385686772,"S","mono"
"S23",0.627214839753278,-1.07230202377243,"S","mono"
"S35",4.80018177261634,0.311842971936903,"S","mono"
"S47",5.77290328444108,1.08134467295017,"S","mono"
"S71",4.90330747774526,0.406260696355213,"S","mixed-grass"
"S83",5.64527202911344,-0.0700454432707471,"S","mixed-tree"
"S95",4.01424576857363,-0.196701595308813,"S","mixed-tree"
"S97",4.74888688361301,-0.867925086937115,"S","mixed-tree"
"S109",-0.164796295941717,-6.17145163982325,"S","mixed-tree"
"S121",5.23381156758283,0.0151238721207461,"S","mixed-grass"
"S203",8.80294795142791,2.03105621257453,"S","mixed-grass"
"S145",-0.544399015795757,-1.97142518114844,"S","mono"
"S157",0.660133187397982,-1.76096134178101,"S","mono"
"S169",9.97076158298063,4.52957083293276,"S","mixed-tree"
"S181",5.89456927371779,0.961312890794475,"S","mixed-tree"
"S99",-0.161923151892058,-7.08503493458655,"S","mixed-tree"
"S111",5.78017748924115,-0.478877172870265,"S","mixed-tree"
"S123",3.6357314583668,-0.684800171502513,"S","mixed-grass"
"S135",5.0218145545885,0.190901391188581,"S","mono"
"S147",0.422993585932031,-1.79707430174894,"S","mono"
"S159",-0.562829321428844,-3.35275601688348,"S","mono"
"S171",2.77359781838891,-0.60081363913507,"S","mixed-tree"
"S213",5.34537433204758,0.228157229989094,"S","mixed-grass"
"S101",0.96015603000445,-5.98600376831917,"S","mixed-tree"
"S113",6.58327170150731,0.397391189271026,"S","mixed-grass"
"S125",4.59034897255881,-0.0385859097401621,"S","mixed-grass"
"S137",3.74419480020302,-0.24804470766852,"S","mono"
"S149",1.18200899427457,-1.47656659644727,"S","mono"
"S161",-0.18439676099654,-2.89923961389527,"S","mono"
"S173",1.44056022529364,-1.23697874527646,"S","mixed-tree"
"S185",4.73354754872106,-0.306194317889744,"S","mono"
"S103",4.18807649840015,-1.8709519442768,"S","mixed-tree"
"S115",3.4845602919845,-1.91554856998842,"S","mixed-grass"
"S127",2.89847673126149,-1.40179042728683,"S","mixed-grass"
"S139",3.2655309356962,-0.819012720420115,"S","mono"
"S151",3.52274485781719,-1.24235716921662,"S","mono"
"S163",-0.00962973768372875,-1.96673994056173,"S","mono"
"S175",-0.167764965761756,-2.10995805915597,"S","mixed-tree"
"S187",5.60935463490448,0.120507059364398,"S","mono"
"S105",0.855399843510989,-3.83075465381642,"S","mixed-tree"
"S117",5.68308953489686,0.453136832987353,"S","mixed-grass"
