"","var","var.type1","var.type2"
"1","MAP.mm","climate","climate"
"2","MAT.C","climate","climate"
"3","ph","soil","soil.resources"
"4","watercontent","soil","soil.resources"
"5","P","soil","soil.resources"
"6","K","soil","soil.resources"
"7","Cu","soil","soil.resources"
"8","Mg","soil","soil.resources"
"9","Mn","soil","soil.resources"
"10","S","soil","soil.resources"
"11","Zn","soil","soil.resources"
"12","TIN","soil","soil.resources"
"13","p.resin","soil","soil.resources"
"14","doc","soil","soil.resources"
"15","perc.C","soil","soil.resources"
"16","perc.sand","soil","texture"
"17","perc.clay","soil","texture"
"18","basal.area.m2","plant","plant"
"19","max.height.m","plant","plant"
"20","stand.age.yrs.num","plant","plant"
