"","max.height.m","basal.area.m2","stand.age.yrs.num","ph","perc.C","watercontent","doc","p.resin","TIN","SOM","W.V","mbc","Cu","K","Mg","Mn","P","Zn","Ca","perc.N","S","perc.clay","perc.sand","MAP.mm","MAT.C","samp.lat","samp.lon"
"max.height.m",1,0.442465400673465,0.198125717955018,0.362088435973449,-0.151506569981154,-0.0678770156834949,-0.162478599642298,0.260550182063639,0.127449464454534,-0.170199855102242,0.17559970184867,-0.0864322464093871,0.0554618125080662,0.13708347130898,0.087492970115684,-0.399973814963573,0.00157562409321116,0.228977303356505,0.0923348300740046,-0.106496883048082,-0.210356614890917,-0.103177509134862,0.186212983143148,0.164703672931088,-0.246835167951407,-0.00380841819487754,-0.173003938518898
"basal.area.m2",0.442465400673465,1,0.479045413152538,0.237873581542979,-0.209915837835703,-0.150189240015395,-0.0511956401551399,0.538692028121901,0.308058047195486,-0.165682139748385,0.187287220020969,-0.20361030776042,0.334198607804894,0.0264419177383719,0.00904794829940316,-0.10347117296464,0.492311077802487,0.44719270885336,0.0627363177666645,-0.17826305463151,-0.12904622154204,-0.20943428697619,0.200762265076783,0.0915481523721354,0.126613859645237,-0.103060669355762,0.187522813046992
"stand.age.yrs.num",0.198125717955018,0.479045413152538,1,0.00829637476225613,0.0143491788721117,-0.0856133350843939,0.0660313565825123,0.40749416585803,0.273932483395303,0.00697764882102978,0.114630318716907,-0.0484425199959247,0.247107078656992,-0.0148039182591313,-0.0082255094445098,-0.22377413458745,0.383498579000488,0.596448821470647,0.0297079278103957,0.0195197539377978,0.0948355541726363,-0.0539316221604475,0.122121646488392,-0.22218361476019,-0.0419838050111426,0.259863075296071,0.208770770189501
"ph",0.362088435973449,0.237873581542979,0.00829637476225613,1,-0.263183028218654,0.0126289795368439,-0.0604373441797382,0.33953214420751,-0.0429855515291213,-0.569232630957159,0.0247993552579091,-0.276237022432657,0.585166488528509,0.397717936293211,0.651667479081082,0.0837400384483961,0.0562702736062719,0.377422876021836,0.671333617422198,-0.0256227528661679,-0.210542496224753,0.209124988507146,0.0800046527833059,-0.000256872705088797,-0.312764812223806,-0.242258267277035,-0.475876738232969
"perc.C",-0.151506569981154,-0.209915837835703,0.0143491788721117,-0.263183028218654,1,0.769125201880165,0.602134032673385,-0.117244662791992,0.491169568408176,0.832732679470887,-0.698319230930057,0.817869825689092,0.103665442915086,0.143980438224152,0.253323024487579,-0.159416678330913,-0.309452417978215,-0.107229801349886,0.227410741634119,0.934571970297719,0.719189998569577,0.32697952986461,-0.46030763565419,0.159500251831685,0.0375012585466195,-0.232074930395552,-0.0250621041509522
"watercontent",-0.0678770156834949,-0.150189240015395,-0.0856133350843939,0.0126289795368439,0.769125201880165,1,0.737212486312555,-0.122631019424006,0.246739907635004,0.492921937314844,-0.899281074306556,0.614378074136459,0.336840217633494,0.37662064261008,0.572338358322805,-0.0505834785047656,-0.478756627093963,-0.158320917282764,0.567760867389903,0.851580326235877,0.792963630736516,0.653098944133232,-0.780212458712105,-0.115792366334981,-0.251313282753804,-0.167563826336515,-0.334113964189696
"doc",-0.162478599642298,-0.0511956401551399,0.0660313565825123,-0.0604373441797382,0.602134032673385,0.737212486312555,1,-0.0500365578681212,0.151759207863867,0.354155466927257,-0.739560127832313,0.322407644517951,0.415336399347614,0.23467602361588,0.516802948327721,0.0817894930788662,-0.20260163114145,-0.078432906796896,0.489524456753964,0.686251599293969,0.80133724216006,0.542722510424835,-0.625648733907637,-0.164310090190435,-0.0830359465788911,-0.178066372769183,-0.217162024776741
"p.resin",0.260550182063639,0.538692028121901,0.40749416585803,0.33953214420751,-0.117244662791992,-0.122631019424006,-0.0500365578681212,1,0.295236668790397,-0.170878641723243,0.0764111136449788,-0.113876710378017,0.518210876950416,0.25120544882384,0.146800655138449,0.0782443917783468,0.568356464937067,0.597255413997836,0.252810144587648,-0.0668893165597125,-0.0489662674888162,-0.12494697528885,0.136634834009444,0.184588494222925,0.0547398081023474,-0.297943128708848,-0.0250173710709076
"TIN",0.127449464454534,0.308058047195486,0.273932483395303,-0.0429855515291213,0.491169568408176,0.246739907635004,0.151759207863867,0.295236668790397,1,0.473865178683241,-0.156875629112382,0.447660012313038,0.226546915533128,-0.0797205928624408,0.0756199575128502,-0.230619878140165,0.149471849637194,0.30528277150097,0.0301828678590489,0.419177262762148,0.224317041036379,-0.100647879626296,0.0691125773123296,0.302656103014124,0.332070037053685,-0.278254811428421,0.345615946382611
"SOM",-0.170199855102242,-0.165682139748385,0.00697764882102978,-0.569232630957159,0.832732679470887,0.492921937314844,0.354155466927257,-0.170878641723243,0.473865178683241,1,-0.403579364121848,0.734567545562104,-0.244284832042396,-0.146683822946276,-0.245315116219081,-0.259646533079379,-0.188201829922767,-0.145152323639394,-0.259908983174969,0.603498787182477,0.448361920456149,-0.0536365097331606,-0.206820554290332,0.395828424365606,0.299555796939502,-0.237688866352339,0.295731599179288
"W.V",0.17559970184867,0.187287220020969,0.114630318716907,0.0247993552579091,-0.698319230930057,-0.899281074306556,-0.739560127832313,0.0764111136449788,-0.156875629112382,-0.403579364121848,1,-0.53875597999087,-0.368833938321259,-0.466654157131923,-0.60238286784042,-0.0926765258747083,0.413826384592601,0.230920667590536,-0.59812373495293,-0.799324848929085,-0.851890151629815,-0.675025397620462,0.869402327762315,0.163287045575625,0.263186885826317,0.171614216272941,0.374836838673685
"mbc",-0.0864322464093871,-0.20361030776042,-0.0484425199959247,-0.276237022432657,0.817869825689092,0.614378074136459,0.322407644517951,-0.113876710378017,0.447660012313038,0.734567545562104,-0.53875597999087,1,-0.0723650984581227,0.15551882396041,0.0773389744517889,-0.237503311701338,-0.370912040017667,-0.156676979899396,0.0320539392835701,0.733457539084488,0.537122608248881,0.186149791355528,-0.350229347833476,0.194050235577708,-0.121038642140426,-0.127168116101095,-0.117527951747234
"Cu",0.0554618125080662,0.334198607804894,0.247107078656992,0.585166488528509,0.103665442915086,0.336840217633494,0.415336399347614,0.518210876950416,0.226546915533128,-0.244284832042396,-0.368833938321259,-0.0723650984581227,1,0.323602352925637,0.74464425105408,0.204282189003188,0.176258115275363,0.51473695971327,0.789069541650357,0.324598877016744,0.335601495609118,0.449952697359086,-0.31808317571187,-0.206549269151704,-0.0996948254029779,-0.245120420071643,-0.272686610393437
"K",0.13708347130898,0.0264419177383719,-0.0148039182591313,0.397717936293211,0.143980438224152,0.37662064261008,0.23467602361588,0.25120544882384,-0.0797205928624408,-0.146683822946276,-0.466654157131923,0.15551882396041,0.323602352925637,1,0.511155887963768,0.185239217328708,-0.048227416813069,-0.0932600214003009,0.534534352218921,0.335829616002166,0.300212807771896,0.360289434248301,-0.429380529079285,0.0442956329495793,-0.617881614284883,-0.265285894186442,-0.67018021008061
"Mg",0.087492970115684,0.00904794829940316,-0.0082255094445098,0.651667479081082,0.253323024487579,0.572338358322805,0.516802948327721,0.146800655138449,0.0756199575128502,-0.245315116219081,-0.60238286784042,0.0773389744517889,0.74464425105408,0.511155887963768,1,0.116566004576847,-0.225035874884197,0.125227367881382,0.946938227418959,0.537403173932617,0.460987381273696,0.698516281728638,-0.521633261778571,-0.320612795220042,-0.416185303269834,-0.126009251765716,-0.537305042684417
"Mn",-0.399973814963573,-0.10347117296464,-0.22377413458745,0.0837400384483961,-0.159416678330913,-0.0505834785047656,0.0817894930788662,0.0782443917783468,-0.230619878140165,-0.259646533079379,-0.0926765258747083,-0.237503311701338,0.204282189003188,0.185239217328708,0.116566004576847,1,0.158341945601881,0.0201451968304138,0.172984763650976,-0.0772245372934401,0.0104374088315436,0.118593939096575,-0.1480080806752,-0.185787533388606,0.162685363182467,-0.258071466710884,-0.0734872142993504
"P",0.00157562409321116,0.492311077802487,0.383498579000488,0.0562702736062719,-0.309452417978215,-0.478756627093963,-0.20260163114145,0.568356464937067,0.149471849637194,-0.188201829922767,0.413826384592601,-0.370912040017667,0.176258115275363,-0.048227416813069,-0.225035874884197,0.158341945601881,1,0.331717674929695,-0.126121088879797,-0.33719344781837,-0.275792541756671,-0.503822370106108,0.498979521565799,0.219193227802087,0.420184266878468,-0.193677478196747,0.406911838094439
"Zn",0.228977303356505,0.44719270885336,0.596448821470647,0.377422876021836,-0.107229801349886,-0.158320917282764,-0.078432906796896,0.597255413997836,0.30528277150097,-0.145152323639394,0.230920667590536,-0.156676979899396,0.51473695971327,-0.0932600214003009,0.125227367881382,0.0201451968304138,0.331717674929695,1,0.2129806756762,-0.0832480661796638,-0.165728221483233,-0.0621762460668122,0.24479290223894,-0.0809112614849377,0.0680056006542059,-0.00710661718132783,0.0867592297887379
"Ca",0.0923348300740046,0.0627363177666645,0.0297079278103957,0.671333617422198,0.227410741634119,0.567760867389903,0.489524456753964,0.252810144587648,0.0301828678590489,-0.259908983174969,-0.59812373495293,0.0320539392835701,0.789069541650357,0.534534352218921,0.946938227418959,0.172984763650976,-0.126121088879797,0.2129806756762,1,0.505835984759392,0.450684986738796,0.653793020183677,-0.52947033374657,-0.318932693351273,-0.377945106550863,-0.152727626808219,-0.554680744810215
"perc.N",-0.106496883048082,-0.17826305463151,0.0195197539377978,-0.0256227528661679,0.934571970297719,0.851580326235877,0.686251599293969,-0.0668893165597125,0.419177262762148,0.603498787182477,-0.799324848929085,0.733457539084488,0.324598877016744,0.335829616002166,0.537403173932617,-0.0772245372934401,-0.33719344781837,-0.0832480661796638,0.505835984759392,1,0.792518044996511,0.525190600594848,-0.584449519497209,-0.0019245685438606,-0.162306598210455,-0.213416461921143,-0.245028804576681
"S",-0.210356614890917,-0.12904622154204,0.0948355541726363,-0.210542496224753,0.719189998569577,0.792963630736516,0.80133724216006,-0.0489662674888162,0.224317041036379,0.448361920456149,-0.851890151629815,0.537122608248881,0.335601495609118,0.300212807771896,0.460987381273696,0.0104374088315436,-0.275792541756671,-0.165728221483233,0.450684986738796,0.792518044996511,1,0.614332066503141,-0.773553876238347,-0.220441021499423,-0.226531742747431,-0.050219486439459,-0.306205619513641
"perc.clay",-0.103177509134862,-0.20943428697619,-0.0539316221604475,0.209124988507146,0.32697952986461,0.653098944133232,0.542722510424835,-0.12494697528885,-0.100647879626296,-0.0536365097331606,-0.675025397620462,0.186149791355528,0.449952697359086,0.360289434248301,0.698516281728638,0.118593939096575,-0.503822370106108,-0.0621762460668122,0.653793020183677,0.525190600594848,0.614332066503141,1,-0.784680691225254,-0.564920910695551,-0.550520002768902,0.233690847464093,-0.494531458029188
"perc.sand",0.186212983143148,0.200762265076783,0.122121646488392,0.0800046527833059,-0.46030763565419,-0.780212458712105,-0.625648733907637,0.136634834009444,0.0691125773123296,-0.206820554290332,0.869402327762315,-0.350229347833476,-0.31808317571187,-0.429380529079285,-0.521633261778571,-0.1480080806752,0.498979521565799,0.24479290223894,-0.52947033374657,-0.584449519497209,-0.773553876238347,-0.784680691225254,1,0.374156743360934,0.423868608852157,-0.0294124841853964,0.474692274535941
"MAP.mm",0.164703672931088,0.0915481523721354,-0.22218361476019,-0.000256872705088797,0.159500251831685,-0.115792366334981,-0.164310090190435,0.184588494222925,0.302656103014124,0.395828424365606,0.163287045575625,0.194050235577708,-0.206549269151704,0.0442956329495793,-0.320612795220042,-0.185787533388606,0.219193227802087,-0.0809112614849377,-0.318932693351273,-0.0019245685438606,-0.220441021499423,-0.564920910695551,0.374156743360934,1,0.363103265029492,-0.776393007264062,0.116869084390557
"MAT.C",-0.246835167951407,0.126613859645237,-0.0419838050111426,-0.312764812223806,0.0375012585466195,-0.251313282753804,-0.0830359465788911,0.0547398081023474,0.332070037053685,0.299555796939502,0.263186885826317,-0.121038642140426,-0.0996948254029779,-0.617881614284883,-0.416185303269834,0.162685363182467,0.420184266878468,0.0680056006542059,-0.377945106550863,-0.162306598210455,-0.226531742747431,-0.550520002768902,0.423868608852157,0.363103265029492,1,-0.358789558798088,0.822081344370731
"samp.lat",-0.00380841819487754,-0.103060669355762,0.259863075296071,-0.242258267277035,-0.232074930395552,-0.167563826336515,-0.178066372769183,-0.297943128708848,-0.278254811428421,-0.237688866352339,0.171614216272941,-0.127168116101095,-0.245120420071643,-0.265285894186442,-0.126009251765716,-0.258071466710884,-0.193677478196747,-0.00710661718132783,-0.152727626808219,-0.213416461921143,-0.050219486439459,0.233690847464093,-0.0294124841853964,-0.776393007264062,-0.358789558798088,1,0.0834136129528331
"samp.lon",-0.173003938518898,0.187522813046992,0.208770770189501,-0.475876738232969,-0.0250621041509522,-0.334113964189696,-0.217162024776741,-0.0250173710709076,0.345615946382611,0.295731599179288,0.374836838673685,-0.117527951747234,-0.272686610393437,-0.67018021008061,-0.537305042684417,-0.0734872142993504,0.406911838094439,0.0867592297887379,-0.554680744810215,-0.245028804576681,-0.306205619513641,-0.494531458029188,0.474692274535941,0.116869084390557,0.822081344370731,0.0834136129528331,1
