"","tissue","model","term","ASV","mean","sign","support.all","kingdom","phylum","class","order","family","genus","species","CS1"
"1","Leaf","Abundance","K","ASV_18",-1.00281816774645,"negative",0.9835,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-17.20495311
"2","Leaf","Abundance","K","ASV_3",-0.97723843844357,"negative",0.979,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-18.4474346
"3","Leaf","Abundance","K","ASV_41",-0.941595972052539,"negative",0.97625,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Gomphillaceae","g__Corticifraga","s__peltigerae",2.09667783
"4","Leaf","Abundance","K","ASV_144",0.79661799845737,"positive",0.97925,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,4.45009615
"5","Leaf","Abundance","K","ASV_83",0.819873081062361,"positive",0.97825,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,4.48706569
"6","Leaf","Abundance","K","ASV_71",0.829128929807081,"positive",0.97125,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,4.56117543
"7","Leaf","Abundance","K","ASV_2",0.857947357426108,"positive",0.99225,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__seminicola",5.38297741
"8","Leaf","Abundance","K","ASV_66",0.920558551741041,"positive",0.97675,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.2008385
"9","Leaf","Abundance","K","ASV_624",0.953630932516679,"positive",0.971,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,4.43321904
"10","Leaf","Abundance","K","ASV_6",0.973324653368666,"positive",0.969,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hyweljonesia","s__queenslandica",7.95894113
"11","Leaf","Abundance","K","ASV_225",0.982746860298625,"positive",0.97925,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,4.52265958
"12","Leaf","Abundance","K","ASV_20",1.02280089528709,"positive",0.99375,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,4.47124758
"13","Leaf","Abundance","K","ASV_204",1.04102921489596,"positive",0.98275,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,4.45807378
"14","Leaf","Abundance","K","ASV_861",1.04945571083824,"positive",0.96525,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.15019537
"15","Leaf","Abundance","K","ASV_52",1.05684850910361,"positive",0.99275,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA,4.93823329
"16","Leaf","Abundance","K","ASV_727",1.07571216940383,"positive",0.959,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,4.37457014
"17","Leaf","Abundance","K","ASV_217",1.08867954389801,"positive",0.974,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.18194518
"18","Leaf","Abundance","K","ASV_1364",1.09440386538573,"positive",0.9775,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.14396239
"19","Leaf","Abundance","K","ASV_278",1.12658040402078,"positive",0.9815,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.16483375
"20","Leaf","Abundance","K","ASV_246",1.26266093815237,"positive",0.996,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.17101748
"21","Leaf","Abundance","K","ASV_17",1.3444443507708,"positive",0.9995,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.39440008
"22","Leaf","Abundance","K","ASV_53",1.50439747634955,"positive",1,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,4.44596898
"23","Leaf","Abundance","max.height.m","ASV_312",-1.10578041024615,"negative",1,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__sinensis",-1.24144823
"24","Leaf","Abundance","max.height.m","ASV_55",-1.08846891978499,"negative",0.99975,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__pagnoccae",-0.97008483
"25","Leaf","Abundance","max.height.m","ASV_6",-0.802427227038774,"negative",0.984,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hyweljonesia","s__queenslandica",7.95894113
"26","Leaf","Abundance","max.height.m","ASV_53",-0.781396628905728,"negative",0.99725,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,4.44596898
"27","Leaf","Abundance","max.height.m","ASV_115",-0.759720926225361,"negative",0.981,"k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,-2.17771762
"28","Leaf","Abundance","max.height.m","ASV_177",-0.731484422191575,"negative",0.985,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Trichosphaeriales","f__Trichosphaeriaceae","g__Nigrospora",NA,2.58822574
"29","Leaf","Abundance","max.height.m","ASV_3",0.681491142054027,"positive",0.99,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-18.4474346
"30","Leaf","Abundance","max.height.m","ASV_18",0.79554385461854,"positive",0.99525,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-17.20495311
"31","Leaf","Abundance","P","ASV_53",-0.72236976283434,"negative",0.9995,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,4.44596898
"32","Leaf","Abundance","P","ASV_52",-0.71632433214337,"negative",0.996,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA,4.93823329
"33","Leaf","Abundance","P","ASV_6",-0.564924011051174,"negative",0.97125,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hyweljonesia","s__queenslandica",7.95894113
"34","Leaf","Abundance","P","ASV_278",-0.562526258137172,"negative",0.964,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.16483375
"35","Leaf","Abundance","P","ASV_66",-0.557036082852709,"negative",0.98425,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.2008385
"36","Leaf","Abundance","P","ASV_17",-0.468780617152537,"negative",0.9885,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,5.39440008
"37","Leaf","Abundance","P","ASV_55",-0.433468608426141,"negative",0.95725,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__pagnoccae",-0.97008483
"38","Leaf","Abundance","P","ASV_2",-0.365455484288971,"negative",0.96275,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__seminicola",5.38297741
"39","Leaf","Abundance","P","ASV_4",0.366764303647962,"positive",0.951,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Dissoconium",NA,3.73057868
"40","Leaf","Abundance","P","ASV_181",0.518753607671148,"positive",0.95975,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Bipolaris",NA,3.5576262
"41","Leaf","Abundance","P","ASV_3",0.562688946685189,"positive",0.99,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-18.4474346
"42","Leaf","Abundance","ph","ASV_1925",-0.339976608556419,"negative",0.9765,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-16.74600948
"43","Leaf","Abundance","ph","ASV_3",-0.271795979076266,"negative",0.96575,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-18.4474346
"44","Leaf","Abundance","ph","ASV_18",-0.259065147098918,"negative",0.961,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata",-17.20495311
