"","term","ASV","mean","support","supportNeg","signif","sign","CS1","kingdom","phylum","class","order","family","genus","species","model"
"1","(Intercept)","ASV_20",-3.25426675611419,5e-04,0.9995,TRUE,"negative","  4.47124758","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"2","(Intercept)","ASV_2",-2.51571213764177,0.00525,0.99475,TRUE,"negative","  5.38297741","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__seminicola","Abundance"
"3","(Intercept)","ASV_22",-2.46624992294465,0.01075,0.98925,TRUE,"negative","  4.60187019","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,"Abundance"
"4","(Intercept)","ASV_856",3.19336020966096,0.96575,0.03425,TRUE,"positive"," -2.13528342","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Brachybasidiaceae","g__Meira","s__argovae","Abundance"
"5","(Intercept)","ASV_115",3.33752736160833,0.9915,0.0085,TRUE,"positive"," -2.17771762","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,"Abundance"
"6","K","ASV_18",-1.00281816774645,0.0165,0.9835,TRUE,"negative","-17.20495311","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata","Abundance"
"7","K","ASV_3",-0.97723843844357,0.021,0.979,TRUE,"negative","-18.44743460","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__emaculata","Abundance"
"8","K","ASV_41",-0.941595972052539,0.02375,0.97625,TRUE,"negative","  2.09667783","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Gomphillaceae","g__Corticifraga","s__peltigerae","Abundance"
"9","K","ASV_144",0.79661799845737,0.97925,0.02075,TRUE,"positive","  4.45009615","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"10","K","ASV_83",0.819873081062361,0.97825,0.02175,TRUE,"positive","  4.48706569","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"11","K","ASV_71",0.829128929807081,0.97125,0.02875,TRUE,"positive","  4.56117543","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,"Abundance"
"12","K","ASV_2",0.857947357426108,0.99225,0.00775,TRUE,"positive","  5.38297741","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__seminicola","Abundance"
"13","K","ASV_66",0.920558551741041,0.97675,0.02325,TRUE,"positive","  5.20083850","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,"Abundance"
"14","K","ASV_624",0.953630932516679,0.971,0.029,TRUE,"positive","  4.43321904","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"15","K","ASV_6",0.973324653368666,0.969,0.031,TRUE,"positive","  7.95894113","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Hyweljonesia","s__queenslandica","Abundance"
"16","K","ASV_225",0.982746860298625,0.97925,0.02075,TRUE,"positive","  4.52265958","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,"Abundance"
"17","K","ASV_20",1.02280089528709,0.99375,0.00625,TRUE,"positive","  4.47124758","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"18","K","ASV_204",1.04102921489596,0.98275,0.01725,TRUE,"positive","  4.45807378","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"Abundance"
"19","K","ASV_861",1.04945571083824,0.96525,0.03475,TRUE,"positive","  5.15019537","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA,"Abundance"
"20","K","ASV_52",1.05684850910361,0.99275,0.00725,TRUE,"positive","  4.93823329","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA,"Abundance"
