,term,ASV,mean,support,supportNeg,signif,sign,CS1,kingdom,phylum,class,order,family,genus,species,model
1,(Intercept),ASV_5,-2.735263332,0.00875,0.99125,TRUE,negative,1.71087847,k__Fungi,p__Basidiomycota,c__Atractiellomycetes,o__Atractiellales,f__Hoehnelomycetaceae,g__Atractiella,s__solani,Abundance
2,(Intercept),ASV_56,2.895475126,0.989,0.011,TRUE,positive,-0.03645205,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__podzolica,Abundance
3,lib,ASV_38,2.33E-05,0.9595,0.0405,TRUE,positive,5.88821259,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Chaetothyriaceae,NA,NA,Abundance
4,lib,ASV_87,2.84E-05,0.9575,0.0425,TRUE,positive,5.13710738,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__Cladophialophora,NA,Abundance
5,perc.clay,ASV_468,-0.409688967,0.0445,0.9555,TRUE,negative,5.77655342,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
6,perc.clay,ASV_714,-0.394428388,0.0485,0.9515,TRUE,negative,5.77281165,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
7,perc.clay,ASV_28,0.562332741,0.98225,0.01775,TRUE,positive,3.14080679,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__elongata,Abundance
8,ph,ASV_56,-0.48716353,0.011,0.989,TRUE,negative,-0.03645205,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Tremellales,f__Trimorphomycetaceae,g__Saitozyma,s__podzolica,Abundance
9,ph,ASV_592,0.260402401,0.95475,0.04525,TRUE,positive,5.77321177,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
10,ph,ASV_1030,0.267422524,0.95075,0.04925,TRUE,positive,5.77104295,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
11,ph,ASV_883,0.26869018,0.95,0.05,TRUE,positive,5.77116817,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
12,ph,ASV_2649,0.274330589,0.95325,0.04675,TRUE,positive,5.76927936,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
13,ph,ASV_314,0.275336532,0.9545,0.0455,TRUE,positive,5.77970946,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
14,ph,ASV_755,0.275818654,0.95375,0.04625,TRUE,positive,5.77037806,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
15,ph,ASV_790,0.276329197,0.95675,0.04325,TRUE,positive,5.76833726,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
16,ph,ASV_2077,0.276819107,0.9515,0.0485,TRUE,positive,5.76994344,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
17,ph,ASV_1460,0.278981642,0.95575,0.04425,TRUE,positive,5.77019319,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
18,ph,ASV_1052,0.280944022,0.9535,0.0465,TRUE,positive,5.77035,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
19,ph,ASV_1391,0.282594733,0.956,0.044,TRUE,positive,5.7691783,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
20,ph,ASV_1645,0.28388962,0.95675,0.04325,TRUE,positive,5.77028487,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
21,ph,ASV_561,0.286631966,0.96125,0.03875,TRUE,positive,5.77395441,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
22,ph,ASV_324,0.289215231,0.96,0.04,TRUE,positive,5.78289196,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
23,ph,ASV_711,0.294928451,0.9595,0.0405,TRUE,positive,5.77350428,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
24,ph,ASV_258,0.303409967,0.96875,0.03125,TRUE,positive,5.78523914,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
25,ph,ASV_297,0.309522113,0.96875,0.03125,TRUE,positive,5.78424601,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
26,ph,ASV_601,0.314094023,0.9715,0.0285,TRUE,positive,5.77220883,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Abundance
27,(Intercept),ASV_457,-8.814527066,0,1,TRUE,negative,5.77855403,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,NA,NA,Presence
28,(Intercept),ASV_213,-8.531311839,0,1,TRUE,negative,5.12111741,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices,Presence
29,(Intercept),ASV_395,-8.301771442,0,1,TRUE,negative,5.11362121,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Rhizophagus,s__intraradices,Presence
30,(Intercept),ASV_1071,-8.266370254,0,1,TRUE,negative,3.97743256,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA,Presence
31,(Intercept),ASV_1297,-8.223016542,0,1,TRUE,negative,3.97612351,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA,Presence
32,(Intercept),ASV_205,-8.115724327,0,1,TRUE,negative,3.02903441,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__alpina,Presence
33,(Intercept),ASV_502,-8.047032773,0,1,TRUE,negative,3.98287611,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Diversisporales,f__Diversisporaceae,NA,NA,Presence
34,(Intercept),ASV_1080,-7.979686432,0,1,TRUE,negative,5.00052922,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Glomus,s__indicum,Presence
