"","term","ASV","mean","support","supportNeg","signif","sign","CS1","kingdom","phylum","class","order","family","genus","species","model"
"1","(Intercept)","ASV_188",-1.59548043050484,0.00125,0.99875,TRUE,"negative","-1.7357989","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,"Abundance"
"2","(Intercept)","ASV_5",-1.38177383057888,0.004,0.996,TRUE,"negative","-2.1000682","k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Hoehnelomycetaceae","g__Atractiella","s__solani","Abundance"
"3","(Intercept)","ASV_2865",-1.31072161301404,0.023,0.977,TRUE,"negative","-1.7197319","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,"Abundance"
"4","(Intercept)","ASV_2157",-1.28529692759899,0.025,0.975,TRUE,"negative","-1.7201344","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,"Abundance"
"5","(Intercept)","ASV_1537",-1.15547217290681,0.028,0.972,TRUE,"negative","-4.4511606","k__Fungi","p__Chytridiomycota","c__Chytridiomycetes","o__Spizellomycetales","f__Spizellomycetaceae",NA,NA,"Abundance"
"6","(Intercept)","ASV_54",-1.11571012092964,0.03925,0.96075,TRUE,"negative","-6.7724035","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Clavicipitaceae","g__Metarhizium","s__anisopliae","Abundance"
"7","(Intercept)","ASV_134",1.12034223466109,0.9805,0.0195,TRUE,"positive","-4.7289372","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia","s__divaricata","Abundance"
"8","(Intercept)","ASV_567",1.13877214388775,0.966,0.034,TRUE,"positive","-4.6932523","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia",NA,"Abundance"
"9","(Intercept)","ASV_527",1.17534736264058,0.974,0.026,TRUE,"positive","-4.6934149","k__Fungi","p__Glomeromycota","c__Glomeromycetes","o__Glomerales","f__Glomeraceae","g__Kamienskia",NA,"Abundance"
"10","Cu","ASV_188",0.920656562461333,0.98825,0.01175,TRUE,"positive","-1.7357989","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Solicoccozyma",NA,"Abundance"
