"","sample.name.match","Site","SiteSamp","Axis1","MAP.mm","ph","P","K","Cu","Mn","Zn","TIN","perc.C","perc.sand","max.height.m","stand.age.yrs.num"
"L18","L18","CGF-MON-PRO","CGF-MON-PRO-2",4.40202577731055,6.0937909209952,2.15146831530139,1.1032922656704,1.78787227554481,0.876505427977524,0.801474979386928,0.854645010350665,0.834980936678094,-1.0092565720302,-0.000689345596492311,1.12650602409639,0.884694439706475
"L105","L105","UCP-MXG-NCD","UCP-MXG-NCD-8",0.382595458345893,6.36386948930598,1.60432766615147,1.45197208400828,1.47837987549898,0.227514786793553,0.446590268629798,0.598344711554466,0.631958263107985,-1.57135423579776,0.45315613156949,1.24096385542169,1.26631956334879
"L31","L31","CGF-MXG-PRO","CGF-MXG-PRO-7",4.53869613715524,6.0937909209952,1.65842349304482,1.17047269240478,1.87733633887851,0.63408693013458,0.953371469780102,0.759213970633437,0.883831092964417,-1.33238111588192,-0.240086482822966,1.09638554216867,0.985499489933852
"L12","L12","CCR-ONE-NCD","CCR-ONE-NCD-4",-6.09418213213837,6.421977302488,2.1097372488408,1.49245669345602,1.4853718745039,0.805466873939934,0.683075866609251,1.21603840667843,0.667241154703239,-1.53753312179902,0.566897672717566,1.4578313253012,1.26631956334879
"L42","L42","CRE-MXT-NCD","CRE-MXT-NCD-2",0.28451142783219,6.5048559580969,1.78361669242658,1.39371042390848,1.63516357263203,0.239883487732729,1.02541848331969,0.595262070513142,0.530862863176285,-1.66679886240746,0.30834211289416,1.32530120481928,0.618374876357686
"L6","L6","BRF-ONE-COM","BRF-ONE-COM-6",4.28714549291171,6.38007420340463,1.72179289026275,0.688774925142026,1.52764450969255,0.188101407149158,0.75812787589768,0.507128652405886,0.5796499944589,-1.63186636883301,0.114611314414461,1.48795180722892,0.688426084465051
"L1","L1","BRF-ONE-COM","BRF-ONE-COM-1",3.89595606937821,6.38007420340463,1.68624420401855,0.94981980970931,1.5064217901309,0.159398732132227,0.788064660647567,0.60494951482365,0.657539397264755,-1.52697696476625,0.291921191614349,1.46385542168675,0.688426084465051
"L48","L48","CRE-MXT-NCD","CRE-MXT-NCD-8",-5.19331309496272,6.5048559580969,1.6661514683153,1.4564701790239,1.40201896434478,0.184206900620913,0.990054436972758,0.559067074172844,0.616430007996057,-1.66157900761823,0.379567839567279,1.13253012048193,0.618374876357686
"L59","L59","LWR-BHO-NCS","LWR-BHO-NCS-3",-3.61998107418607,6.41772151898735,1.85625965996909,1.5364639488293,1.69738862397429,0.210148507629783,0.604982167311078,0.659955510872258,0.346253031667455,-1.77093996344806,0.300544396812591,1.30722891566265,0.954745647813834
"L3","L3","BRF-ONE-COM","BRF-ONE-COM-3",4.97927866287471,6.38007420340463,1.79134466769706,0.853905651122938,1.69062880684271,0.165301760181003,0.738267460837545,0.588200644327277,0.652354316711664,-1.44717514765901,0.231291500689088,1.42168674698795,0.688426084465051
"L108","L108","WBI-NRT-NCS","WBI-NRT-NCS-5",1.43561997336455,7.0937909209952,2.02936630602782,1.59398912584941,1.69341726110533,0.693641407662758,0.593367894971766,0.808302689229897,0.827447173477721,-1.49400874169687,0.403855295117377,1.32530120481928,0.798958690046365
"L93","L93","SFA-ONE-PRO","SFA-ONE-PRO-4",-4.29317768832409,6.79550414666085,1.83462132921175,1.04944636100821,1.74092549656704,0.192166683169244,0.622281403619323,0.468109533618447,0.277962451902839,-1.50356424142349,0.275149852815218,1.34939759036145,0.266319563348788
"L22","L22","CGF-MON-PRO","CGF-MON-PRO-6",5.06163828601074,6.0937909209952,2.23647604327666,1.02058079753525,1.93082957617499,0.854236914816825,0.856621667936277,0.896544275670403,0.807255164706908,-0.953474572437785,0.102107915492064,1.35542168674699,0.884694439706475
"L100","L100","UCP-MXG-NCD","UCP-MXG-NCD-3",3.36370286401305,6.36386948930598,1.53013910355487,1.42494028823231,1.62616514058953,0.20064109355831,0.499823326366399,0.615985034396282,0.66141738720722,-1.38267973640404,0.483685835674366,1.17469879518072,1.26631956334879
"L69","L69","MHC-ONE-NCD","MHC-ONE-NCD-4",4.69728396519559,6.59013531209079,2.12673879443586,0.902269907778054,2.02533084087582,0.380981239674138,0.769597510138193,0.616417781019088,0.633432699223135,-1.38042845664587,-0.0359976681293653,1.32530120481928,0.921314318110481
"L14","L14","CCR-ONE-NCD","CCR-ONE-NCD-6",-5.294517947525,6.421977302488,2.11901081916538,1.32892156069563,1.36595047624182,0.475021881720974,0.553813090747385,1.0202977041509,0.643166635557139,-1.68853582575411,0.574556712867442,1.57228915662651,1.26631956334879
"L63","L63","LWR-BHO-NCS","LWR-BHO-NCS-7",-1.06065224243124,6.41772151898735,1.91190108191654,1.3531175858373,1.85240003240487,0.267228868897028,0.527994881640232,0.595522933947852,0.417422892221906,-1.35870012232674,0.34371518786723,1.6144578313253,0.954745647813834
"L44","L44","CRE-MXT-NCD","CRE-MXT-NCD-4",2.32591827547021,6.5048559580969,1.80834621329212,1.48948007015294,1.50496771701327,0.203267068057042,1.0069126259289,0.663391163759685,0.443663771477009,-1.63663845399496,0.420878780260317,1.16867469879518,0.618374876357686
"L4","L4","BRF-ONE-COM","BRF-ONE-COM-4",1.36415953882741,6.38007420340463,1.81761978361669,0.890164795025495,1.66555334551666,0.158268873736022,0.840107507779104,0.568733662043517,0.732294575629245,-1.55214529260544,0.27891892743184,1.4578313253012,0.688426084465051
"L33","L33","CRE-MXG-NCD","CRE-MXG-NCD-1",-12.2377790628078,6.5048559580969,1.370942812983,1.63375873525624,1.55533786588182,0.4203166546542,0.988245608871008,0.640767066456705,0.480374489206712,-1.62252197105762,0.512415777830795,1.06024096385542,0.532639126697576
"L52","L52","LCO-MXT-COM","LCO-MXT-COM-4",1.34831491194713,6.8711807071148,1.34003091190108,0.977044508079576,1.53379871290469,0.0571900420788695,0.152061919937964,0.334317282422792,0.719389287200048,-0.885761483402486,0.0403377900180075,1.09036144578313,0.884694439706475
"L102","L102","UCP-MXG-NCD","UCP-MXG-NCD-5",-7.24887588325553,6.36386948930598,1.42040185471406,1.68617647368443,1.60718900790136,0.417704795458198,0.718054351313912,0.757318015973384,0.78918925207136,-1.33238111588192,0.221462356373724,1.40963855421687,1.26631956334879
"L13","L13","CCR-ONE-NCD","CCR-ONE-NCD-5",-7.18432511101933,6.421977302488,1.88562596599691,1.52109983491251,1.39583935165814,0.658929759334175,0.716170566988015,1.1370537073194,0.724412259899057,-1.49716384490267,0.535853409427204,1.48795180722892,1.26631956334879
"L91","L91","SFA-ONE-PRO","SFA-ONE-PRO-2",2.1178293108664,6.79550414666085,2.05873261205564,1.13503455359718,1.7355928403002,0.227097088729872,0.643073403378089,0.624337266613962,0.519920166506082,-1.31528172330855,0.284531093112869,1.50602409638554,0.266319563348788
"L89","L89","OTO-MXT-NCD","OTO-MXT-NCD-8",1.80724300903772,6.15206241815801,1.61051004636785,1.09648237373857,1.43483274822565,0.219059872008544,0.274179282870789,0.412873436614815,0.574229484712675,-1.57135423579776,0.22511593472986,1.63253012048193,0.798958690046365
"L51","L51","LCO-MXT-COM","LCO-MXT-COM-3",-4.94840146721471,6.8711807071148,1.3693972179289,0.917899043221523,1.3658405450186,0.0501847191730278,0.121988474679325,0.249862568498732,0.673230209130503,-1.03989305998527,0.037730686677307,0.933734939759036,0.884694439706475
"L71","L71","MHC-ONE-NCD","MHC-ONE-NCD-6",3.86872000817964,6.59013531209079,2.06027820710974,1.15446392156958,2.21988938141481,0.526292406239646,0.811380382148091,0.603694226041303,0.415186433621991,-1.25744480867269,-0.0244673960804771,1.48192771084337,0.921314318110481
"L57","L57","LWR-BHO-NCS","LWR-BHO-NCS-1",-10.9512394342719,6.41772151898735,1.887171561051,1.5091255019719,1.64138777236273,0.160545009401786,0.625208432268148,0.66755633836104,0.440620087480929,-1.52353073289337,0.202022453963345,1.37951807228916,0.954745647813834
"L10","L10","CCR-ONE-NCD","CCR-ONE-NCD-2",-6.75803965332128,6.421977302488,2.20401854714065,1.42581376210871,1.54302895399791,0.656151596861008,0.662549684566986,1.13211931581362,0.90402543953045,-1.55590002153648,0.611531051851841,1.63253012048193,1.26631956334879
"L41","L41","CRE-MXT-NCD","CRE-MXT-NCD-1",2.92164418922669,6.5048559580969,1.87017001545595,1.44113610755324,1.69547483720235,0.306716763030127,1.11089365304489,0.696485026081419,0.598013725333363,-1.61794597545618,0.337258754948344,1.42168674698795,0.618374876357686
"L49","L49","LCO-MXT-COM","LCO-MXT-COM-1",-10.449427182547,6.8711807071148,1.32921174652241,1.07354395200672,1.42283739278031,0.0460805642926834,0.154606026824338,0.369371811682024,0.874092163698529,-1.0258641402275,0.0576450254865492,1.26506024096386,0.884694439706475
"L77","L77","OTO-MON-NCD","OTO-MON-NCD-4",-7.18304584769542,6.15206241815801,1.7403400309119,1.08716857543497,1.4620495672398,0.219059872008544,0.449645336309669,0.630536820311007,0.735580497324239,-1.57935716722952,0.184782280480032,1.18072289156627,0.844213042232524
"L36","L36","CRE-MXG-NCD","CRE-MXG-NCD-4",1.35703800473105,6.5048559580969,1.63987635239567,1.54546522396659,1.4853718745039,0.398254209651587,0.98012112281972,0.719629201165959,0.351226639006953,-1.59596086333105,0.549262742943022,0.698795180722892,0.532639126697576
"L20","L20","CGF-MON-PRO","CGF-MON-PRO-4",4.49337390086915,6.0937909209952,2.10664605873261,0.886680084476143,1.73710255868258,0.752788177105584,0.685545247639737,0.699692815218754,0.779578334310701,-1.13812469572502,-0.0869208888243822,1.03614457831325,0.884694439706475
"L43","L43","CRE-MXT-NCD","CRE-MXT-NCD-3",3.40421533937261,6.5048559580969,1.81916537867079,1.54850301714778,1.53510971117749,0.297186143353881,1.07949685239017,0.671613329072067,0.470820098060687,-1.65137808443257,0.410912758134031,1.3433734939759,0.618374876357686
"L23","L23","CGF-MON-PRO","CGF-MON-PRO-7",3.36995809694913,6.0937909209952,2.0386398763524,0.963741392611977,1.63077027421738,0.825995778165436,0.814694648209554,0.755243381833277,0.382027939027551,-1.23326524674655,-0.124271210078283,1.28915662650602,0.884694439706475
"L55","L55","LCO-MXT-COM","LCO-MXT-COM-7",1.46659322189371,6.8711807071148,1.33539412673879,0.885663900921644,1.36105422854004,0.0447095592385199,0.110893653044886,0.282748498356412,0.643027047664637,-1.05187305644284,-0.0714947664144849,1.30722891566265,0.884694439706475
"L78","L78","OTO-MON-NCD","OTO-MON-NCD-5",-7.47123734577482,6.15206241815801,1.69706336939722,1.05064023767216,1.36810066549941,0.299042856002723,0.484752258292666,0.621883665596471,0.654654964436339,-1.56742335057519,0.235548466160222,1.41566265060241,0.844213042232524
"L5","L5","BRF-ONE-COM","BRF-ONE-COM-5",-3.43410128177944,6.38007420340463,1.72488408037094,0.874986717665189,1.56550226144844,0.192166683169244,0.776387051746883,0.621298360148512,0.563612432574948,-1.56353804982719,0.242092832673673,1.59638554216867,0.688426084465051
"L106","L106","WBI-NRT-NCS","WBI-NRT-NCS-3",-3.71326325260683,7.0937909209952,2.00772797527048,1.50183528477377,1.87179005724411,0.727782776209895,0.583646957508623,0.78202498618406,0.879732608384184,-1.54475965134378,0.427470586117976,1.63855421686747,0.798958690046365
