"","sample.name.match","Site","SiteSamp","Axis1","MAP.mm","MAT.C","ph","P","Mn","Zn","TIN","doc","perc.C","perc.sand","perc.clay","max.height.m","stand.age.yrs.num"
"R12","R12","CCR-ONE-NCD","CCR-ONE-NCD-4",2.37414705472095,6.421977302488,11.9037411907642,2.1097372488408,1.49245669345602,0.683075866609251,1.21603840667843,0.667241154703239,0,-1.53753312179902,0.566897672717566,-0.735251265148177,1.4578313253012,1.26631956334879
"R63","R63","LWR-BHO-NCS","LWR-BHO-NCS-7",5.65547779029838,6.41772151898735,11.8781392549521,1.91190108191654,1.3531175858373,0.527994881640232,0.595522933947852,0.417422892221906,0.428313568656729,-1.35870012232674,0.34371518786723,-0.608503147276521,1.6144578313253,0.954745647813834
"R6","R6","BRF-ONE-COM","BRF-ONE-COM-6",2.79323938311174,6.38007420340463,11.8781392549521,1.72179289026275,0.688774925142026,0.75812787589768,0.507128652405886,0.5796499944589,0.677331667643872,-1.63186636883301,0.114611314414461,-0.330022259655595,1.48795180722892,0.688426084465051
"R39","R39","CRE-MXG-NCD","CRE-MXG-NCD-7",-0.338391329587733,6.5048559580969,12.1274527780594,1.82689335394127,1.37263263442199,0.826014981173953,0.778707928987769,0.350557847612526,0.50219536510564,-1.60024378206491,0.321893697042991,-0.842375026064126,1.09036144578313,0.532639126697576
"R19","R19","CGF-MON-PRO","CGF-MON-PRO-3",5.77590539140906,6.0937909209952,11.7477564296688,2.14528593508501,1.24839198825467,0.738981247958152,0.901833584724613,0.709030665344141,1,-1.21066866037135,-0.069274787802751,-0.14270799307929,1.28313253012048,0.884694439706475
"R91","R91","OTO-MXT-NCD","OTO-MXT-NCD-8",3.14049349262786,6.15206241815801,11.7211914054367,1.61051004636785,1.09648237373857,0.274179282870789,0.412873436614815,0.574229484712675,0.265397860735989,-1.57135423579776,0.22511593472986,-0.397281554993816,1.63253012048193,0.798958690046365
"R41","R41","CRE-MXT-NCD","CRE-MXT-NCD-1",-1.93843619282974,6.5048559580969,12.1274527780594,1.87017001545595,1.44113610755324,1.11089365304489,0.696485026081419,0.598013725333363,0.438817685647006,-1.61794597545618,0.337258754948344,-0.516947817985019,1.42168674698795,0.618374876357686
"R55","R55","LCO-MXT-COM","LCO-MXT-COM-7",11.4441716119399,6.8711807071148,12.1274527780594,1.33539412673879,0.885663900921644,0.110893653044886,0.282748498356412,0.643027047664637,0.821326918165047,-1.05187305644284,-0.0714947664144849,-0.350170615782927,1.30722891566265,0.884694439706475
"R56","R56","LCO-MXT-COM","LCO-MXT-COM-8",10.7356487641814,6.8711807071148,12.1274527780594,1.30448222565688,0.97077044559509,0.121199501339358,0.274660610073933,0.681398583892272,0.665815807502226,-1.04158015151672,0.0825087422375835,-0.548479814798947,1.23493975903614,0.884694439706475
"R109","R109","WBI-NRT-NCS","WBI-NRT-NCS-2",2.33139987808067,7.0937909209952,12.1515959059777,2.0386398763524,1.50006024661668,0.594854729790458,0.783801910651259,0.960130547132129,0.659788615683112,-1.58343151844335,0.429071115907615,-0.861985617724698,1.59638554216867,0.798958690046365
"R25","R25","CGF-MXG-PRO","CGF-MXG-PRO-1",8.89675665298012,6.0937909209952,11.7477564296688,1.70788253477589,1.37410224578678,0.972801920788021,0.812039974522948,0.457867166348576,0.821882392827527,-1.31528172330855,-0.360554889831286,-0.304254462226836,0.903614457831325,0.985499489933852
"R108","R108","WBI-NRT-NCS","WBI-NRT-NCS-1",4.38443587269453,7.0937909209952,12.1515959059777,1.98763523956723,1.48094006503975,0.595594183223714,0.780263856809946,1.02602171737194,0,-1.46977909377704,0.421721498270667,-0.977947651610651,1.56024096385542,0.798958690046365
"R117","R117","MHC-ONE-NCD","MHC-ONE-NCD-5",4.70372289219882,6.59013531209079,11.1515959059777,1.99381761978362,1.02368877873941,0.724809701308134,0.514217268591773,0.270773939810062,0.526539620054439,-1.33433503466615,-0.0151371159919054,-0.255007552285561,1.41566265060241,0.921314318110481
"R70","R70","MHC-ONE-NCD","MHC-ONE-NCD-3",2.41401302774197,6.59013531209079,11.1515959059777,1.85780525502318,1.03092930481531,0.76514340142962,0.610051747429361,0.453652329270198,0.585897358900934,-1.23472780799926,0.0162913432907588,-0.317002098613737,1.50602409638554,0.921314318110481
"R2","R2","BRF-ONE-COM","BRF-ONE-COM-2",3.72045239349029,6.38007420340463,11.8781392549521,1.73724884080371,0.714228426838624,0.690527867082288,0.559154721044453,0.626245507666829,0.598620805612127,-1.45828781209915,0.185752958832797,-0.562473862971396,1.34939759036145,0.688426084465051
"R43","R43","CRE-MXT-NCD","CRE-MXT-NCD-3",-0.306832648771736,6.5048559580969,12.1274527780594,1.81916537867079,1.54850301714778,1.07949685239017,0.671613329072067,0.470820098060687,0.240701377559762,-1.65137808443257,0.410912758134031,-0.5202437179882,1.3433734939759,0.618374876357686
