"","Site","var","n","mean","se"
"1","BRF-ONE-COM","basal.area.m2",8,0.112007595577519,0.0126262586038052
"2","CCR-ONE-NCD","basal.area.m2",8,0.341196597133936,0.0514760083740998
"3","CGF-MON-PRO","basal.area.m2",8,0.0811610827100838,0.0166358668297451
"4","CGF-MXG-PRO","basal.area.m2",8,0.190243070128947,0.0576238478371871
"5","CRE-MXG-NCD","basal.area.m2",8,0.0701458734684346,0.0140658292357701
"6","CRE-MXT-NCD","basal.area.m2",8,0.0443651787549134,0.00773144950040542
"7","LCO-MXT-COM","basal.area.m2",8,0.041547562843725,0.0086032985371948
"8","LWR-BHO-NCS","basal.area.m2",8,0.176145173095963,0.0416316401691183
"9","MHC-ONE-NCD","basal.area.m2",8,0.0968297760698629,0.0208683021903663
"10","OTO-MON-NCD","basal.area.m2",8,0.132555575027404,0.0144017249457478
"11","OTO-MXT-NCD","basal.area.m2",8,0.0775875210666254,0.0148404068323321
"12","SFA-ONE-PRO","basal.area.m2",8,0.0240528187540469,0.00405730157033252
"13","UCP-MXG-NCD","basal.area.m2",8,0.223347602716149,0.0782274182722033
"14","WBI-NRT-NCS","basal.area.m2",8,0.351210423717254,0.0429411751584191
"15","BRF-ONE-COM","Cu",8,0.44632653749267,0.0315669202548119
"16","CCR-ONE-NCD","Cu",8,3.82199420897731,0.444049288625797
"17","CGF-MON-PRO","Cu",8,6.03187985256609,0.488281638713076
"18","CGF-MXG-PRO","Cu",8,3.78017487387743,0.225810256337804
"19","CRE-MXG-NCD","Cu",8,1.67452569085265,0.19989428679203
"20","CRE-MXT-NCD","Cu",8,0.743134432100117,0.0642214310517625
"21","LCO-MXT-COM","Cu",8,0.129765178880652,0.0130618389655144
"22","LWR-BHO-NCS","Cu",8,0.898543240169935,0.183128102777933
"23","MHC-ONE-NCD","Cu",8,1.92225926734692,0.271072164733516
"24","OTO-MON-NCD","Cu",8,1.04749853032255,0.150944971102164
"25","OTO-MXT-NCD","Cu",8,0.439311226841291,0.0517656641448213
"26","SFA-ONE-PRO","Cu",8,0.429905132200628,0.0486568471990769
"27","UCP-MXG-NCD","Cu",8,0.905674397742991,0.142322457904429
"28","WBI-NRT-NCS","Cu",8,3.5914770387252,0.103669647982855
"29","BRF-ONE-COM","doc",8,2.16883652943643,0.478247421910585
"30","CCR-ONE-NCD","doc",8,1.03340227751072,0.28548855885574
"31","CGF-MON-PRO","doc",8,6.98603807115899,0.448485408791024
"32","CGF-MXG-PRO","doc",8,4.40937218672402,0.681949449838293
"33","CRE-MXG-NCD","doc",8,1.6608109477775,0.271361896329675
"34","CRE-MXT-NCD","doc",8,1.40794448906384,0.258181318362685
"35","LCO-MXT-COM","doc",8,5.11965868602423,0.509355240645739
"36","LWR-BHO-NCS","doc",8,2.01173070108504,0.557123306692446
"37","MHC-ONE-NCD","doc",8,2.8641313466206,0.228784630741376
"38","OTO-MON-NCD","doc",8,0.47742946994088,0.194858174651137
"39","OTO-MXT-NCD","doc",8,0.817132624666206,0.272491843957401
"40","SFA-ONE-PRO","doc",8,1.21090422169549,0.259151546871264
"41","UCP-MXG-NCD","doc",8,2.65739194698306,0.650680779647159
"42","WBI-NRT-NCS","doc",8,1.05901203538232,0.417955504892588
"43","BRF-ONE-COM","K",8,50.5339561604215,4.56936499983605
"44","CCR-ONE-NCD","K",8,42.054094113254,3.14268073272494
"45","CGF-MON-PRO","K",8,93.9778457334314,8.01005317409716
"46","CGF-MXG-PRO","K",8,136.240372963255,12.8875325333679
"47","CRE-MXG-NCD","K",8,61.1883556191483,5.40714328987084
"48","CRE-MXT-NCD","K",8,48.9352080240167,5.43857033876305
"49","LCO-MXT-COM","K",8,39.6064771780794,4.61656696010038
"50","LWR-BHO-NCS","K",8,104.530196578308,10.9350097342117
"51","MHC-ONE-NCD","K",8,229.86641588158,18.9908130359539
"52","OTO-MON-NCD","K",8,34.8294457968327,2.41191980938273
"53","OTO-MXT-NCD","K",8,40.6292905524366,3.580728517114
"54","SFA-ONE-PRO","K",8,66.7202631918251,9.72802782425446
"55","UCP-MXG-NCD","K",8,55.6142833175836,5.75480891574941
"56","WBI-NRT-NCS","K",8,93.2843984010657,8.66145654374662
"57","BRF-ONE-COM","max.height.m",8,2.51625,0.0706838408488309
"58","CCR-ONE-NCD","max.height.m",8,2.555,0.0625071424490262
"59","CGF-MON-PRO","max.height.m",8,2.10625,0.0748555155902737
"60","CGF-MXG-PRO","max.height.m",8,1.97125,0.0841223067919562
"61","CRE-MXG-NCD","max.height.m",8,1.6375,0.10973588422077
"62","CRE-MXT-NCD","max.height.m",8,1.95,0.110113577727726
"63","LCO-MXT-COM","max.height.m",8,1.99875,0.0771232200535518
"64","LWR-BHO-NCS","max.height.m",8,2.355,0.0674801558131828
"65","MHC-ONE-NCD","max.height.m",8,2.37625,0.0502826830458132
"66","OTO-MON-NCD","max.height.m",8,2.13875,0.0509003753845265
"67","OTO-MXT-NCD","max.height.m",8,2.24,0.0914955112091766
"68","SFA-ONE-PRO","max.height.m",8,2.38,0.0563471383479232
"69","UCP-MXG-NCD","max.height.m",8,2.16375,0.101046974578305
"70","WBI-NRT-NCS","max.height.m",8,2.47,0.0645312770235156
"71","BRF-ONE-COM","Mn",8,27.7955434702095,2.05350930451854
"72","CCR-ONE-NCD","Mn",8,18.6510706549793,2.60795008643333
"73","CGF-MON-PRO","Mn",8,32.2147848134894,4.23816834384856
"74","CGF-MXG-PRO","Mn",8,69.9173987276445,2.68359785269743
"75","CRE-MXG-NCD","Mn",8,65.8587501405868,11.1625251823141
"76","CRE-MXT-NCD","Mn",8,89.8929960298016,7.46875119727873
"77","LCO-MXT-COM","Mn",8,0.844289432933883,0.0602905210875494
"78","LWR-BHO-NCS","Mn",8,13.8781830975242,1.00760271390536
"79","MHC-ONE-NCD","Mn",8,28.1497232638409,2.27388387403052
"80","OTO-MON-NCD","Mn",8,5.54627171935735,0.422096256682388
"81","OTO-MXT-NCD","Mn",8,2.64092989027089,0.605038367731532
"82","SFA-ONE-PRO","Mn",8,12.2102961687334,0.760513041848609
"83","UCP-MXG-NCD","Mn",8,11.0764806664685,1.86428661111818
"84","WBI-NRT-NCS","Mn",8,11.908030364025,0.469611183866885
"85","BRF-ONE-COM","P",8,19.0541097877191,2.4720955824433
"86","CCR-ONE-NCD","P",8,220.538468087284,28.2415030993787
"87","CGF-MON-PRO","P",8,48.4791489196411,7.26114787530236
"88","CGF-MXG-PRO","P",8,94.1081373399213,11.216697885294
"89","CRE-MXG-NCD","P",8,218.64474915733,41.5704147367126
"90","CRE-MXT-NCD","P",8,163.153016221754,31.3502123025635
"91","LCO-MXT-COM","P",8,33.8492147963112,2.94899178219886
"92","LWR-BHO-NCS","P",8,239.445200359344,20.4527108011427
"93","MHC-ONE-NCD","P",8,55.6687489669536,8.90597847386265
"94","OTO-MON-NCD","P",8,58.0471333164072,6.38448390482879
"95","OTO-MXT-NCD","P",8,66.1085299864902,5.70234476991539
"96","SFA-ONE-PRO","P",8,59.5413719854536,13.8591205327209
"97","UCP-MXG-NCD","P",8,276.043662726811,44.9634747882264
"98","WBI-NRT-NCS","P",8,277.836613154256,16.7888741371124
"99","BRF-ONE-COM","p.resin",8,0.757124975680988,0.345921637748869
"100","CCR-ONE-NCD","p.resin",8,22.9515279254887,5.11489833037034
"101","CGF-MON-PRO","p.resin",8,6.61982544587312,1.9877057887552
"102","CGF-MXG-PRO","p.resin",8,13.6304831287231,3.05391259628866
"103","CRE-MXG-NCD","p.resin",8,6.93873753061767,1.44815999554145
"104","CRE-MXT-NCD","p.resin",8,3.92787370740192,1.0228270664796
"105","LCO-MXT-COM","p.resin",8,1.31273750622196,0.220458143602899
"106","LWR-BHO-NCS","p.resin",8,8.83978307857999,2.36585914187102
"107","MHC-ONE-NCD","p.resin",8,9.92988762427537,3.37555474347452
"108","OTO-MON-NCD","p.resin",8,2.78900845101948,0.434147718460093
"109","OTO-MXT-NCD","p.resin",8,1.41846595307262,0.307395678936148
"110","SFA-ONE-PRO","p.resin",8,5.02812610322357,2.08013510283703
"111","UCP-MXG-NCD","p.resin",8,9.43694470585206,1.36192246080165
"112","WBI-NRT-NCS","p.resin",8,21.4150778835769,1.2691367052449
"113","BRF-ONE-COM","perc.C",8,0.9525,0.0612591101096692
"114","CCR-ONE-NCD","perc.C",8,0.93125,0.0713501801979905
"115","CGF-MON-PRO","perc.C",8,3.31375,0.384010497903378
"116","CGF-MXG-PRO","perc.C",8,1.8225,0.0791416000415891
"117","CRE-MXG-NCD","perc.C",8,0.82375,0.0542789586961914
"118","CRE-MXT-NCD","perc.C",8,0.83625,0.103336093473122
"119","LCO-MXT-COM","perc.C",8,5.52,0.741877444634316
