"","x"
"1","ASV_440"
"2","ASV_61"
"3","ASV_508"
"4","ASV_899"
"5","ASV_1187"
"6","ASV_1447"
"7","ASV_870"
"8","ASV_726"
"9","ASV_840"
"10","ASV_1111"
"11","ASV_2396"
"12","ASV_2957"
"13","ASV_799"
"14","ASV_1815"
"15","ASV_1564"
"16","ASV_206"
"17","ASV_1540"
"18","ASV_423"
"19","ASV_239"
"20","ASV_322"
"21","ASV_702"
"22","ASV_1981"
"23","ASV_320"
"24","ASV_323"
"25","ASV_464"
"26","ASV_498"
"27","ASV_1322"
"28","ASV_2061"
"29","ASV_2235"
"30","ASV_1546"
"31","ASV_1816"
"32","ASV_5575"
"33","ASV_369"
"34","ASV_934"
"35","ASV_965"
"36","ASV_1265"
"37","ASV_1306"
"38","ASV_1809"
"39","ASV_1918"
"40","ASV_1047"
"41","ASV_1704"
"42","ASV_1735"
"43","ASV_2240"
"44","ASV_709"
"45","ASV_725"
"46","ASV_1056"
"47","ASV_1136"
"48","ASV_1205"
"49","ASV_1337"
"50","ASV_1382"
"51","ASV_1403"
"52","ASV_2288"
"53","ASV_3278"
"54","ASV_3361"
"55","ASV_3514"
"56","ASV_201"
"57","ASV_290"
"58","ASV_341"
"59","ASV_657"
"60","ASV_720"
"61","ASV_1110"
"62","ASV_1213"
"63","ASV_1286"
"64","ASV_1343"
"65","ASV_1346"
"66","ASV_1591"
"67","ASV_1982"
"68","ASV_2041"
"69","ASV_2124"
"70","ASV_2284"
"71","ASV_2296"
"72","ASV_2443"
"73","ASV_3166"
"74","ASV_417"
"75","ASV_500"
"76","ASV_668"
"77","ASV_932"
"78","ASV_1032"
"79","ASV_1081"
"80","ASV_1152"
"81","ASV_1182"
"82","ASV_1712"
"83","ASV_1823"
"84","ASV_1988"
"85","ASV_2026"
"86","ASV_2266"
"87","ASV_2361"
"88","ASV_2479"
"89","ASV_2610"
"90","ASV_2737"
"91","ASV_3003"
"92","ASV_3376"
"93","ASV_3529"
"94","ASV_3626"
"95","ASV_360"
"96","ASV_552"
"97","ASV_611"
"98","ASV_787"
"99","ASV_868"
"100","ASV_1277"
"101","ASV_1320"
"102","ASV_1725"
"103","ASV_1737"
"104","ASV_2025"
"105","ASV_2048"
"106","ASV_2056"
"107","ASV_2073"
"108","ASV_2108"
"109","ASV_2325"
"110","ASV_2428"
"111","ASV_2514"
"112","ASV_2629"
"113","ASV_3155"
"114","ASV_3227"
"115","ASV_3334"
"116","ASV_466"
"117","ASV_745"
"118","ASV_768"
"119","ASV_1283"
"120","ASV_1856"
"121","ASV_1879"
"122","ASV_1950"
"123","ASV_2099"
"124","ASV_2155"
"125","ASV_2289"
"126","ASV_2316"
"127","ASV_2337"
"128","ASV_2368"
"129","ASV_2405"
"130","ASV_2995"
"131","ASV_3163"
"132","ASV_3541"
"133","ASV_3544"
"134","ASV_3574"
"135","ASV_3702"
"136","ASV_4639"
"137","ASV_4867"
"138","ASV_5148"
"139","ASV_6322"
"140","ASV_537"
"141","ASV_862"
"142","ASV_912"
"143","ASV_1067"
"144","ASV_1073"
"145","ASV_1208"
"146","ASV_1335"
"147","ASV_1597"
"148","ASV_1703"
"149","ASV_1837"
"150","ASV_1949"
"151","ASV_1972"
"152","ASV_2007"
"153","ASV_2136"
"154","ASV_2141"
"155","ASV_2216"
"156","ASV_2230"
"157","ASV_2254"
"158","ASV_2395"
"159","ASV_2719"
"160","ASV_2767"
"161","ASV_2866"
"162","ASV_2886"
"163","ASV_2891"
"164","ASV_2895"
"165","ASV_2924"
"166","ASV_3043"
"167","ASV_3086"
"168","ASV_3244"
"169","ASV_3675"
"170","ASV_3698"
"171","ASV_4084"
"172","ASV_4153"
"173","ASV_4213"
"174","ASV_4496"
"175","ASV_4553"
"176","ASV_4605"
"177","ASV_4628"
"178","ASV_4998"
"179","ASV_6044"
"180","ASV_6956"
"181","ASV_7817"
"182","ASV_546"
"183","ASV_582"
"184","ASV_793"
"185","ASV_853"
"186","ASV_872"
"187","ASV_1023"
"188","ASV_1061"
"189","ASV_1139"
"190","ASV_1151"
"191","ASV_1194"
"192","ASV_1259"
"193","ASV_1271"
"194","ASV_1370"
"195","ASV_1445"
"196","ASV_1456"
"197","ASV_1535"
"198","ASV_1592"
"199","ASV_1621"
"200","ASV_1629"
"201","ASV_1718"
"202","ASV_1813"
"203","ASV_1835"
"204","ASV_1851"
"205","ASV_1938"
"206","ASV_1944"
"207","ASV_2022"
"208","ASV_2107"
"209","ASV_2133"
"210","ASV_2145"
"211","ASV_2153"
"212","ASV_2182"
"213","ASV_2205"
"214","ASV_2208"
"215","ASV_2243"
"216","ASV_2307"
"217","ASV_2369"
"218","ASV_2386"
"219","ASV_2429"
"220","ASV_2447"
"221","ASV_2485"
"222","ASV_2496"
"223","ASV_2569"
"224","ASV_2661"
"225","ASV_2671"
"226","ASV_2778"
"227","ASV_2824"
"228","ASV_2861"
"229","ASV_2975"
"230","ASV_3072"
"231","ASV_3093"
"232","ASV_3327"
"233","ASV_3330"
"234","ASV_3347"
"235","ASV_3362"
"236","ASV_3567"
"237","ASV_3685"
"238","ASV_4003"
"239","ASV_4112"
"240","ASV_4204"
"241","ASV_4229"
"242","ASV_4270"
"243","ASV_4365"
"244","ASV_4541"
"245","ASV_4569"
"246","ASV_4683"
"247","ASV_4937"
"248","ASV_5595"
"249","ASV_6048"
"250","ASV_6324"
"251","ASV_6990"
"252","ASV_9343"
"253","ASV_609"
"254","ASV_733"
"255","ASV_783"
"256","ASV_989"
"257","ASV_1016"
"258","ASV_1202"
"259","ASV_1239"
"260","ASV_1409"
"261","ASV_1432"
"262","ASV_1644"
"263","ASV_1668"
"264","ASV_1673"
"265","ASV_1678"
"266","ASV_1681"
"267","ASV_1694"
"268","ASV_1714"
"269","ASV_1773"
"270","ASV_1778"
"271","ASV_1817"
"272","ASV_1889"
"273","ASV_1992"
"274","ASV_2029"
"275","ASV_2069"
"276","ASV_2082"
"277","ASV_2083"
"278","ASV_2260"
"279","ASV_2281"
"280","ASV_2286"
"281","ASV_2290"
"282","ASV_2301"
