"","read","dir","domain","d.perc","phylum","p.perc","class","c.perc","order","o.perc","family","f.perc","genus","g.perc","species","s.perc"
"1","ASV_1","+","Fungi","100%","Zygomycota","16%","Mucoromycotina_Incertae sedis","16%","Mucorales","16%","Radiomycetaceae","3%","Radiomyces","3%","Radiomyces embreei","3%"
"2","ASV_2","+","Fungi","100%","Ascomycota","100%","Sordariomycetes","100%","Xylariales","100%","Hyponectriaceae","100%","Monographella","99%","Monographella albescens","99%"
"3","ASV_3","+","Fungi","100%","Basidiomycota","100%","Pucciniomycetes","100%","Pucciniales","100%","Pucciniaceae","100%","Puccinia","100%","Puccinia andropogonis","70%"
"4","ASV_4","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Capnodiales","99%","Mycosphaerellaceae","99%","Dissoconium","64%","Dissoconium aciculare","26%"
"5","ASV_5","+","Fungi","100%","Basidiomycota","88%","Agaricostilbomycetes","27%","Agaricostilbales","27%","Agaricostilbaceae","27%","Agaricostilbum","6%","Agaricostilbum hyphaenes","6%"
"6","ASV_6","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","77%","Capnodiales","76%","Teratosphaeriaceae","43%","Teratosphaeria","43%","Teratosphaeria micromaculata","23%"
"7","ASV_7","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Pleosporales","95%","Leptosphaeriaceae","51%","Leptosphaeria","51%","Leptosphaeria maculans brassicae group","27%"
"8","ASV_8","+","Fungi","100%","Basidiomycota","99%","Agaricomycetes","98%","Agaricales","90%","Marasmiaceae","64%","Clitocybula","28%","Clitocybula lignicola","28%"
"9","ASV_9","+","Fungi","100%","Basidiomycota","95%","Agaricomycetes","86%","Agaricales","81%","Hygrophoraceae","36%","Camarophyllopsis","12%","Camarophyllopsis hymenocephala","12%"
"10","ASV_10","+","Fungi","100%","Zygomycota","17%","Mucoromycotina_Incertae sedis","17%","Mucorales","17%","Pilobolaceae","7%","Pilobolus","7%","Pilobolus sphaerosporus","4%"
"11","ASV_11","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Agaricales","100%","Mycenaceae","99%","Mycena","92%","Mycena pura f violacea","30%"
"12","ASV_12","+","Fungi","100%","Ascomycota","100%","Leotiomycetes","78%","Helotiales","71%","Dermateaceae","29%","Pezicula","25%","Pezicula corylina","17%"
"13","ASV_13","+","Fungi","100%","Ascomycota","51%","Sordariomycetes","22%","Ophiostomatales","9%","Ophiostomataceae","9%","Ophiostoma","8%","Sporothrix variecibatus","1%"
"14","ASV_14","+","Fungi","100%","Basidiomycota","89%","Agaricomycetes","69%","Agaricales","59%","Inocybaceae","31%","Inocybe","31%","Inocybe auricoma","3%"
"15","ASV_15","+","Fungi","100%","Ascomycota","100%","Pezizomycotina_Incertae sedis","34%","Pezizomycotina_Incertae sedis","34%","Pezizomycotina_Incertae sedis","34%","Knufia","31%","Sarcinomyces petricola","25%"
"16","ASV_16","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Agaricales","100%","Mycenaceae","95%","Mycena","88%","Mycena pura f violacea","33%"
"17","ASV_17","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Pleosporales","100%","Pleosporaceae","41%","Epicoccum","41%","Epicoccum sorghi","41%"
"18","ASV_18","+","Fungi","100%","Basidiomycota","100%","Pucciniomycetes","100%","Pucciniales","100%","Pucciniaceae","100%","Puccinia","100%","Puccinia andropogonis","69%"
"19","ASV_19","+","Fungi","100%","Ascomycota","94%","Sordariomycetes","47%","Hypocreales","18%","Ophiocordycipitaceae","8%","Tolypocladium","5%","Tolypocladium","5%"
"20","ASV_20","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Pleosporales","100%","Phaeosphaeriaceae","94%","Phaeosphaeria","94%","Phaeosphaeria herpotrichoides","78%"
"21","ASV_21","+","Fungi","100%","Zygomycota","13%","Mucoromycotina_Incertae sedis","13%","Mucorales","13%","Radiomycetaceae","4%","Radiomyces","4%","Radiomyces embreei","4%"
"22","ASV_22","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Pleosporales","99%","Phaeosphaeriaceae","74%","Phaeosphaeriopsis","72%","Phaeosphaeria oryzae","71%"
"23","ASV_23","+","Fungi","100%","Basidiomycota","99%","Agaricomycetes","99%","Agaricales","99%","Mycenaceae","97%","Cruentomycena","54%","Cruentomycena viscidocruenta","36%"
"24","ASV_24","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","96%","Pleosporales","92%","Phaeosphaeriaceae","24%","Sclerostagonospora","5%","Sclerostagonospora sp CBS 118142","5%"
"25","ASV_25","+","Fungi","100%","Basidiomycota","99%","Agaricomycetes","99%","Agaricales","98%","Mycenaceae","91%","Cruentomycena","25%","Cruentomycena viscidocruenta","17%"
"26","ASV_26","+","Fungi","100%","Basidiomycota","91%","Agaricomycetes","90%","Trechisporales","38%","Hydnodontaceae","38%","Trechispora","34%","Trechispora sp 1 MPM 2013","15%"
"27","ASV_27","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","99%","Agaricales","99%","Mycenaceae","76%","Mycena","76%","Mycena oregonensis","34%"
"28","ASV_28","+","Fungi","100%","Zygomycota","100%","Mucoromycotina_Incertae sedis","100%","Mortierellales","100%","Mortierellaceae","100%","Mortierella","100%","Mortierella elongata","100%"
"29","ASV_29","+","Fungi","100%","Ascomycota","100%","Pezizomycetes","100%","Pezizales","100%","Pyronemataceae","100%","Wilcoxina","100%","Wilcoxina mikolae","100%"
"30","ASV_30","+","Fungi","100%","Ascomycota","92%","Sordariomycetes","47%","Hypocreales","20%","Ophiocordycipitaceae","8%","Tolypocladium","5%","Tolypocladium","5%"
"31","ASV_31","+","Fungi","100%","Zygomycota","21%","Mucoromycotina_Incertae sedis","21%","Mucorales","21%","Radiomycetaceae","6%","Radiomyces","6%","Radiomyces embreei","6%"
"32","ASV_32","+","Fungi","100%","Basidiomycota","100%","Pucciniomycetes","100%","Pucciniales","100%","Pucciniaceae","100%","Puccinia","100%","Puccinia andropogonis","70%"
"33","ASV_33","+","Fungi","100%","Ascomycota","45%","Saccharomycetes","8%","Saccharomycetales","8%","Saccharomycetaceae","3%","Saccharomyces","2%","Saccharomyces uvarum","1%"
"34","ASV_34","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Agaricales","100%","Agaricaceae","100%","Agaricus","100%","Agaricus subantarcticus","23%"
"35","ASV_35","+","Fungi","100%","Basidiomycota","87%","Agaricomycetes","83%","Agaricales","70%","Hygrophoraceae","50%","Camarophyllopsis","44%","Camarophyllopsis hymenocephala","44%"
"36","ASV_36","+","Fungi","100%","Basidiomycota","69%","Agaricomycetes","67%","Agaricales","53%","Hygrophoraceae","28%","Camarophyllopsis","28%","Camarophyllopsis hymenocephala","28%"
"37","ASV_37","+","Fungi","100%","Ascomycota","95%","Sordariomycetes","34%","Diaporthales","12%","Gnomoniaceae","8%","Sirococcus","3%","Sirococcus tsugae","3%"
"38","ASV_38","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","64%","Capnodiales","64%","Mycosphaerellaceae","64%","Metulocladosporiella","64%","Cladosporium musae","43%"
"39","ASV_39","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Dothideales","100%","Dothioraceae","100%","Kabatiella","100%","Aureobasidium pullulans","59%"
"40","ASV_40","+","Fungi","100%","Basidiomycota","98%","Agaricomycetes","91%","Agaricales","78%","Mycenaceae","22%","Mycena","22%","Mycena pearsoniana","10%"
"41","ASV_41","+","Fungi","100%","Ascomycota","52%","Eurotiomycetes","9%","Chaetothyriomycetidae_Incertae sedis","8%","Rhynchostomataceae","8%","Rhynchostoma","8%","Rhynchostoma proteae","8%"
"42","ASV_42","+","Fungi","100%","Basidiomycota","76%","Agaricomycetes","60%","Agaricales","38%","Agaricaceae","11%","Agaricus","10%","Agaricus sp RLZ_2012","5%"
"43","ASV_43","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Agaricales","100%","Amanitaceae","100%","Amanita","100%","Amanita rubescens","71%"
"44","ASV_44","+","Fungi","100%","Ascomycota","94%","Sordariomycetes","42%","Hypocreales","16%","Ophiocordycipitaceae","7%","Tolypocladium","4%","Tolypocladium","4%"
"45","ASV_45","+","Fungi","100%","Basidiomycota","81%","Agaricomycetes","78%","Agaricales","61%","Tricholomataceae","8%","Ripartitella","7%","Ripartitella brasiliensis","2%"
"46","ASV_46","+","Fungi","100%","Basidiomycota","99%","Agaricomycetes","98%","Agaricales","89%","Marasmiaceae","66%","Clitocybula","30%","Clitocybula lignicola","30%"
"47","ASV_47","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Atheliales","98%","Atheliaceae","98%","Amphinema","79%","Amphinema sp MHBYS_01","65%"
"48","ASV_48","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","97%","Atheliales","13%","Atheliaceae","13%","Cristinia","9%","Cristinia helvetica","9%"
"49","ASV_49","+","Fungi","100%","Basidiomycota","100%","Agaricomycetes","100%","Agaricales","100%","Mycenaceae","100%","Mycena","91%","Mycena pura f violacea","42%"
"50","ASV_50","+","Fungi","100%","Ascomycota","100%","Leotiomycetes","100%","Helotiales","100%","Hyaloscyphaceae","100%","Lachnum","100%","Lachnum pygmaeum","99%"
"51","ASV_51","+","Fungi","100%","Basidiomycota","90%","Agaricomycetes","86%","Agaricales","76%","Hygrophoraceae","46%","Camarophyllopsis","46%","Camarophyllopsis hymenocephala","46%"
"52","ASV_52","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Pleosporales","99%","Phaeosphaeriaceae","73%","Phaeosphaeriopsis","71%","Phaeosphaeria oryzae","69%"
"53","ASV_53","+","Fungi","100%","Ascomycota","100%","Dothideomycetes","100%","Capnodiales","100%","Mycosphaerellaceae","100%","Davidiella","100%","Cladosporium pseudocladosporioides","15%"
"54","ASV_54","+","Fungi","100%","Ascomycota","100%","Sordariomycetes","100%","Hypocreales","100%","Clavicipitaceae","100%","Metacordyceps","100%","Metarhizium guizhouense","91%"
"55","ASV_55","+","Fungi","100%","Basidiomycota","100%","Tremellomycetes","100%","Tremellales","100%","Tremellaceae","100%","Cryptococcus","100%","Cryptococcus sp LRB_2012a","100%"
"56","ASV_56","+","Fungi","100%","Basidiomycota","100%","Tremellomycetes","100%","Tremellales","100%","Tremellaceae","100%","Cryptococcus","100%","Cryptococcus podzolicus","100%"
